,time_step,id,flow_total,flow_total_tons,flow_domestic_B2C_manufacturing,flow_domestic_B2C,flow_manufacturing,flow_domestic_B2B_manufacturing,flow_domestic_B2B,flow_domestic_B2C_agriculture,flow_agriculture,flow_import_B2C_imports,flow_import_B2C,flow_imports,flow_import_imports,flow_import,flow_domestic_B2B_agriculture,flow_domestic_B2B_mining,flow_mining,flow_export_manufacturing,flow_export,flow_export_mining,flow_export_agriculture
0,0,0,0.038027256828290106,26.144608655081633,0.01606023649152664,0.025671082486491442,0.028416410833325304,0.01235617434179867,0.01235617434179867,0.009610845994964801,0.009610845994964801,,,,,,,,,,,,
1,0,1837,0.032080749795758604,15.614084766101318,0.01606023649152664,0.01972457545395994,0.028416410833325304,0.01235617434179867,0.01235617434179867,0.0036643389624332976,0.0036643389624332976,,,,,,,,,,,,
2,0,1839,0.005946507032531503,10.53052388898032,,0.005946507032531503,,,,0.005946507032531503,0.005946507032531503,,,,,,,,,,,,
3,0,1,0.032080749795758604,15.614084766101318,0.01606023649152664,0.01972457545395994,0.028416410833325304,0.01235617434179867,0.01235617434179867,0.0036643389624332976,0.0036643389624332976,,,,,,,,,,,,
4,0,1363,0.005946507032531503,10.53052388898032,,0.005946507032531503,,,,0.005946507032531503,0.005946507032531503,,,,,,,,,,,,
5,0,2,0.05639788008943904,54.925540807764584,0.02823828098422998,0.04404170574764037,0.04059445532602865,0.01235617434179867,0.01235617434179867,0.015803424763410387,0.015803424763410387,,,,,,,,,,,,
6,0,197,0.06335160132341902,76.86641233529467,0.03314599128776938,0.057795601438139964,0.03870199117304844,0.005555999885279065,0.005555999885279065,0.02464961015037058,0.02464961015037058,,,,,,,,,,,,
7,0,1562,0.039034471029738595,37.554956293631406,0.020967946795066042,0.03347847114445953,0.026523946680345106,0.005555999885279065,0.005555999885279065,0.012510524349393492,0.012510524349393492,,,,,,,,,,,,
8,0,3,0.05639788008943904,54.925540807764584,0.02823828098422998,0.04404170574764037,0.04059445532602865,0.01235617434179867,0.01235617434179867,0.015803424763410387,0.015803424763410387,,,,,,,,,,,,
10,0,194,0.18551143694385358,71.36850504876763,0.008573387435908476,0.030643967616890335,0.1482321828468709,0.1396587954109624,0.14323798440490249,0.02207058018098186,0.025649769174921934,0.01162707348888185,0.01162707348888185,0.011629484922060755,2.411433178905385e-06,2.411433178905385e-06,0.0035791889939400775,,,,,,
11,0,248,0.5481274311599444,154.70404709092242,0.012092974738760916,0.06365308565790549,0.47317987131248757,0.4279060736285212,0.4319121167522575,0.05156011091914457,0.0555650169509294,0.015261521125936739,0.015261521125936739,0.01938140580457596,0.004119884678639219,0.004119884678639219,0.004004906031784828,1.1370919514942992e-06,1.1370919514942992e-06,0.03318082294520547,0.03318082294520547,,
12,0,253,0.6699942623784045,166.60765851177266,0.0037341994311092053,0.07417630690981292,0.584930060416575,0.5482527099580686,0.5521966055212515,0.0704421074787037,0.07438600304188658,0.010677150213433855,0.010677150213433855,0.01067819891994287,1.0487065090157912e-06,1.0487065090157912e-06,0.003943895563182877,,,0.03294315102739726,0.03294315102739726,,
14,0,15,0.020252122798637768,15.188800552665548,0.010561053647274953,0.010561053647274953,0.011928646913814046,0.0013675932665390923,0.0013675932665390923,,,0.007485126452946819,0.007485126452946819,0.008323475884823718,0.0008383494318768989,0.0008383494318768989,,,,,,,
15,0,1440,0.011742348561290295,12.479210652624342,,0.0082100776107768,,,,0.0082100776107768,0.0082100776107768,0.003532270950513495,0.003532270950513495,0.003532270950513495,,,,,,,,,
16,0,5,0.005800586039963667,10.272115971570498,,0.005800586039963667,,,,0.005800586039963667,0.005800586039963667,,,,,,,,,,,,
17,0,281,0.005800586039963667,10.272115971570498,,0.005800586039963667,,,,0.005800586039963667,0.005800586039963667,,,,,,,,,,,,
18,0,954,0.014052372852596355,24.885003450189814,,0.014052372852596355,,,,0.014052372852596355,0.014052372852596355,,,,,,,,,,,,
19,0,957,0.016351659406908164,22.600773083694346,,0.016351659406908164,,,,0.016351659406908164,0.016351659406908164,,,,,,,,,,,,
21,0,6,0.06638155523166879,115.3734990040864,,0.032979957003468424,,,0.030091848436081023,0.032979957003468424,0.06307180543954945,0.0033097497921193413,0.0033097497921193413,0.0033097497921193413,,,0.030091848436081023,,,,,,
22,0,557,0.11914143493214341,191.9134250080453,,0.08059571107255156,0.006846521057609971,0.006846521057609971,0.03854572385959185,0.08059571107255156,0.11229491387453344,,,,,,0.03169920280198188,,,,,,
23,0,714,0.09576090428345732,120.47950938917474,,0.04425604356459319,0.022,,,0.04425604356459319,0.04425604356459319,0.02530786942078181,0.02530786942078181,0.02950486071886413,0.004196991298082319,0.004196991298082319,,,,0.022,0.022,,
24,0,7,0.025982048370435717,44.010631042818765,,0.018545561179646338,,,,0.018545561179646338,0.018545561179646338,0.007436487190789381,0.007436487190789381,0.007436487190789381,,,,,,,,,
25,0,123,0.05404728941868515,207.9808598824156,,0.05098261958343692,,,0.001811587301001645,0.05098261958343692,0.05279420688443856,,,,,,0.001811587301001645,,0.00125308253424659,,0.00125308253424659,0.00125308253424659,
26,0,355,0.05021841033589318,187.2920552637557,,0.029119848262186353,0.009580821917808218,,,0.029119848262186353,0.029119848262186353,0.010264657621652016,0.010264657621652016,0.010264657621652016,,,,,0.00125308253424659,0.009580821917808218,0.010833904452054809,0.00125308253424659,
27,0,351,0.07413754286497314,126.6694757197265,,0.0732359884362027,,,0.0008166229219211258,0.0732359884362027,0.07413754286497314,,,,,,0.0008166229219211258,,,,8.493150684931507e-05,,8.493150684931507e-05
28,0,1165,0.045197709476885936,74.19235163923214,,0.04054651390551682,,,,0.04054651390551682,0.04063144541236614,0.004566264064519795,0.004566264064519795,0.004566264064519795,,,,,,,8.493150684931507e-05,,8.493150684931507e-05
29,0,8,0.003626272616546036,6.421677500352119,,0.003626272616546036,,,,0.003626272616546036,0.003626272616546036,,,,,,,,,,,,
30,0,620,0.01472913732110638,25.617718470401165,,0.011383650103428697,,,4.8312277291377815e-06,0.011383650103428697,0.011383650103428697,0.0033406559899485464,0.0033406559899485464,0.0033406559899485464,,,,4.8312277291377815e-06,4.8312277291377815e-06,,,,
31,0,940,0.003515245774374857,6.225062780583778,,0.003515245774374857,,,,0.003515245774374857,0.003515245774374857,,,,,,,,,,,,
