ecu_sector,wiod_isic
ADM,N
ADP,O84
AGU,E36
ALD,C10-C12
ASO,R_S
AYG,C10-C12
AZU,C10-C12
BAL,C10-C12
BNA,C10-C12
CAN,C10-C12
CAR,C10-C12
CAU,C22
CEM,C23
CER,A01
CHO,C10-C12
CIN,A01
COM,G46
CON,F
CUE,C13-C15
CUL,A01
DEM,C25
DOM,R_S
EDU,P85
ELE,D35
FID,C10-C12
FIN,K64
FRT,A01
FRV,A01
GAN,A01
HIL,C13-C15
HOT,I
INM,L68
LAC,C10-C12
MAD,C16
MAN,C31_C32
MAQ,C28
MET,C24
MIP,B
MOL,C10-C12
MUE,C31_C32
PAN,C10-C12
PAP,C17
PES,A03
PLS,C22
POS,H53
PPR,C10-C12
QU1,C20
QU2,C20
REF,C19
REP,G45
RES,I
SAL,Q
SEG,K65
SIL,A02
TAB,C10-C12
TEL,J61
TRA,H49
VES,C13-C15
VID,C23
