subregion_canton,sector,destroyed_capital_mUSD
AZUAY - CAMILO PONCE ENRIQUEZ,AGU,1.1375063179319549e-07
AZUAY - CAMILO PONCE ENRIQUEZ,AYG,1.839181718962965e-09
AZUAY - CAMILO PONCE ENRIQUEZ,AZU,6.828495676376254e-10
AZUAY - CAMILO PONCE ENRIQUEZ,BAL,1.913662822597533e-09
AZUAY - CAMILO PONCE ENRIQUEZ,BNA,3.7417354742091295e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CAN,2.694259885393214e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CAR,4.1316683792011055e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CAU,2.3421874930398217e-10
AZUAY - CAMILO PONCE ENRIQUEZ,CEM,2.211579143416426e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CER,4.588248804475722e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CHO,1.039340135604348e-09
AZUAY - CAMILO PONCE ENRIQUEZ,CIN,2.5389619985888083e-09
AZUAY - CAMILO PONCE ENRIQUEZ,COM,1.0250188035694773e-07
AZUAY - CAMILO PONCE ENRIQUEZ,CUE,5.183379764876678e-10
AZUAY - CAMILO PONCE ENRIQUEZ,CUL,1.59477427931254e-08
AZUAY - CAMILO PONCE ENRIQUEZ,EDU,1.751029941022961e-07
AZUAY - CAMILO PONCE ENRIQUEZ,ELE,8.291232365736824e-08
AZUAY - CAMILO PONCE ENRIQUEZ,FRT,1.714794838279267e-08
AZUAY - CAMILO PONCE ENRIQUEZ,FRV,1.1772176425097217e-08
AZUAY - CAMILO PONCE ENRIQUEZ,GAN,1.2908472881055297e-08
AZUAY - CAMILO PONCE ENRIQUEZ,HIL,1.0757834560627732e-09
AZUAY - CAMILO PONCE ENRIQUEZ,HOT,3.4604473192650463e-09
AZUAY - CAMILO PONCE ENRIQUEZ,INM,2.628961236200066e-07
AZUAY - CAMILO PONCE ENRIQUEZ,LAC,1.763332776753299e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MAD,2.00740967626124e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MAN,1.2426651580376291e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MAQ,3.069920781495229e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MET,1.7089187013664183e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MOL,1.7649690570211424e-09
AZUAY - CAMILO PONCE ENRIQUEZ,MUE,1.309813351914572e-09
AZUAY - CAMILO PONCE ENRIQUEZ,PAN,1.3521569938004903e-09
AZUAY - CAMILO PONCE ENRIQUEZ,PAP,1.727642172197146e-09
AZUAY - CAMILO PONCE ENRIQUEZ,PES,1.1671218388325682e-08
AZUAY - CAMILO PONCE ENRIQUEZ,PLS,1.463204172637403e-09
AZUAY - CAMILO PONCE ENRIQUEZ,QU1,5.649105867492585e-10
AZUAY - CAMILO PONCE ENRIQUEZ,QU2,2.5749385812296955e-09
AZUAY - CAMILO PONCE ENRIQUEZ,RES,1.8658979587573506e-08
AZUAY - CAMILO PONCE ENRIQUEZ,SAL,9.721679571364827e-08
AZUAY - CAMILO PONCE ENRIQUEZ,SIL,7.489496636791425e-09
AZUAY - CAMILO PONCE ENRIQUEZ,TAB,1.3383774365572708e-10
