subregion_canton,mmi_mean,mmi_bin,n_par,how
AZUAY - CAMILO PONCE ENRIQUEZ,4.2165662509515265,control,2.0,province-exact
AZUAY - CUENCA,4.255028184352973,control,36.0,province-exact
AZUAY - EL PAN,4.104486956541566,control,2.0,province-exact
AZUAY - GIRON,4.111968063672259,control,3.0,province-exact
AZUAY - GUACHAPALA,4.128742065429687,control,1.0,province-exact
AZUAY - GUALACEO,4.13084624279334,control,9.0,province-exact
AZUAY - NABON,4.074152868032936,control,4.0,province-exact
AZUAY - OÑA,3.9884124569125943,control,2.0,province-exact
AZUAY - PAUTE,4.151497407624418,control,8.0,province-exact
AZUAY - PUCARA,4.0739647713874145,control,2.0,province-exact
AZUAY - SAN FERNANDO,4.167947277819652,control,2.0,province-exact
AZUAY - SANTA ISABEL,4.0949376895360095,control,4.0,province-exact
AZUAY - SEVILLA DE ORO,4.113472193558896,control,3.0,province-exact
AZUAY - SIGSIG,4.1113457511331974,control,7.0,province-exact
BOLIVAR - CALUMA,5.5597161627435066,bin_56,1.0,province-exact
BOLIVAR - CHILLANES,4.900725935811389,control,2.0,province-exact
BOLIVAR - CHIMBO,5.401079709723298,bin_56,5.0,province-exact
BOLIVAR - ECHEANDIA,5.831076049804688,bin_56,1.0,province-exact
BOLIVAR - GUARANDA,5.4768451966371146,bin_56,11.0,province-exact
BOLIVAR - LAS NAVES,6.2277734756469725,bin_67,2.0,province-exact
CARCHI - BOLIVAR,4.700361872083872,control,9.0,province-exact
CARCHI - ESPEJO,4.92594623500798,control,5.0,province-exact
CARCHI - MIRA,4.995479710216828,control,4.0,province-exact
CARCHI - MONTUFAR,4.797034098826217,control,7.0,province-exact
CARCHI - SAN PEDRO DE HUACA,4.635453261338271,control,2.0,province-exact
CARCHI - TULCAN,4.928219681543605,control,11.0,province-exact
CAÑAR - AZOGUES,4.230995401984942,control,12.0,province-exact
CAÑAR - BIBLIAN,4.273084114443871,control,5.0,province-exact
CAÑAR - CAÑAR,4.3659109730703465,control,12.0,province-exact
CAÑAR - DELEG,4.225563937967474,control,2.0,province-exact
CAÑAR - EL TAMBO,4.3319415468158144,control,1.0,province-exact
CAÑAR - LA TRONCAL,4.901331066432591,control,3.0,province-exact
CAÑAR - SUSCAL,4.34498765733507,control,1.0,province-exact
CHIMBORAZO - ALAUSI,4.388248166749724,control,10.0,province-exact
CHIMBORAZO - CHAMBO,4.564145737800045,control,1.0,province-exact
CHIMBORAZO - CHUNCHI,4.358752037549645,control,5.0,province-exact
CHIMBORAZO - COLTA,4.992464106320022,control,6.0,province-exact
CHIMBORAZO - GUAMOTE,4.564555995923299,control,3.0,province-exact
CHIMBORAZO - GUANO,4.8379411641865575,control,11.0,province-exact
CHIMBORAZO - PALLATANGA,4.637661637931035,control,1.0,province-exact
CHIMBORAZO - PENIPE,4.509666872251733,control,7.0,province-exact
CHIMBORAZO - RIOBAMBA,4.943074062091505,control,16.0,province-exact
COTOPAXI - LA MANA,6.311953009222986,bin_67,5.0,province-exact
COTOPAXI - LATACUNGA,5.423745164429832,bin_56,15.0,province-exact
COTOPAXI - PANGUA,5.800358458587376,bin_56,4.0,province-exact
COTOPAXI - SALCEDO,5.283849350709568,bin_56,6.0,province-exact
COTOPAXI - SAQUISILI,5.581685313140698,bin_56,4.0,province-exact
COTOPAXI - SIGCHOS,5.776856727246241,bin_56,5.0,province-exact
EL ORO - ARENILLAS,4.125678788892692,control,5.0,province-exact
EL ORO - ATAHUALPA,3.944429286042238,control,6.0,province-exact
EL ORO - BALSAS,3.9580326080322266,control,2.0,province-exact
EL ORO - CHILLA,3.989398519501431,control,1.0,province-exact
EL ORO - EL GUABO,4.279593906664424,control,5.0,province-exact
EL ORO - HUAQUILLAS,4.186918134301658,control,5.0,province-exact
EL ORO - LAS LAJAS,3.9761047527777036,control,5.0,province-exact
EL ORO - MACHALA,4.279267202737955,control,8.0,province-exact
EL ORO - MARCABELI,3.9404267935917296,control,2.0,province-exact
EL ORO - PASAJE,4.205485701143136,control,10.0,province-exact
EL ORO - PIÑAS,3.9670777989461308,control,9.0,province-exact
EL ORO - PORTOVELO,3.8886832631176946,control,4.0,province-exact
EL ORO - SANTA ROSA,4.169918142356755,control,12.0,province-exact
EL ORO - ZARUMA,3.9287961330898993,control,10.0,province-exact
ESMERALDAS - ATACAMES,7.922940383791078,bin_7p,5.0,province-exact
ESMERALDAS - ELOY ALFARO,6.700383916337609,bin_67,16.0,province-exact
ESMERALDAS - ESMERALDAS,7.689359366067692,bin_7p,13.0,province-exact
ESMERALDAS - LA CONCORDIA,7.374254494558702,bin_7p,4.0,name-fallback
ESMERALDAS - MUISNE,7.938808493943908,bin_7p,9.0,province-exact
ESMERALDAS - QUININDE,7.611039854638348,bin_7p,6.0,province-exact
ESMERALDAS - RIO VERDE,7.329870152761493,bin_7p,6.0,province-exact
ESMERALDAS - SAN LORENZO,6.156574647532924,bin_67,13.0,province-exact
GALAPAGOS - ISABELA,,control,,unmatched
GALAPAGOS - SAN CRISTOBAL,,control,,unmatched
GALAPAGOS - SANTA CRUZ,,control,,unmatched
GUAYAS - ALFREDO BAQUERIZO MORENO,,control,,unmatched
GUAYAS - BALAO,4.436205608088796,control,1.0,province-exact
GUAYAS - BALZAR,6.924382672991071,bin_67,1.0,province-exact
GUAYAS - COLIMES,6.479841734476135,bin_67,2.0,province-exact
GUAYAS - CORONEL MARCELINO MARIDUEÑA,,control,,unmatched
GUAYAS - DAULE,5.98718690986542,bin_56,7.0,province-exact
GUAYAS - DURAN,5.8013954084944785,bin_56,3.0,province-exact
GUAYAS - EL EMPALME,7.148646051663565,bin_7p,3.0,province-exact
GUAYAS - EL TRIUNFO,5.0737795250438085,bin_56,1.0,province-exact
GUAYAS - GENERAL ANTONIO ELIZALDE,,control,,unmatched
GUAYAS - GUAYAQUIL,5.698221831778634,bin_56,20.0,province-exact
GUAYAS - LA LIBERTAD,5.075066121419271,bin_56,1.0,name-fallback
GUAYAS - LOMAS DE SARGENTILLO,,control,,unmatched
GUAYAS - MILAGRO,5.527319422835447,bin_56,4.0,province-exact
GUAYAS - NARANJAL,4.804471332043378,control,5.0,province-exact
GUAYAS - NARANJITO,5.341897328694661,bin_56,1.0,province-exact
GUAYAS - NOBOL (VICENTE PIEDRAHITA),,control,,unmatched
GUAYAS - PALESTINA,6.358485295222356,bin_67,1.0,province-exact
GUAYAS - PEDRO CARBO,5.995335992495318,bin_56,3.0,province-exact
GUAYAS - PLAYAS (GENERAL VILLAMIL),,control,,unmatched
GUAYAS - SALINAS,5.011301549275716,bin_56,7.0,name-fallback
GUAYAS - SALITRE,6.083006637733064,bin_67,8.0,province-exact
GUAYAS - SAMBORONDON,5.829222885844405,bin_56,3.0,province-exact
GUAYAS - SAN JACINTO DE YAGUACHI,,control,,unmatched
GUAYAS - SANTA ELENA,5.272581456079479,bin_56,8.0,name-fallback
GUAYAS - SANTA LUCIA,6.238729725713315,bin_67,1.0,province-exact
GUAYAS - SIMON BOLIVAR,5.5062482826498025,bin_56,2.0,province-exact
IMBABURA - ANTONIO ANTE,4.709806027235808,control,6.0,province-exact
IMBABURA - COTACACHI,5.272585746479927,bin_56,10.0,province-exact
IMBABURA - IBARRA,4.873444869987166,control,12.0,province-exact
IMBABURA - OTAVALO,4.832302903977658,control,11.0,province-exact
IMBABURA - PIMAMPIRO,4.596424856748322,control,4.0,province-exact
IMBABURA - SAN MIGUEL DE URCUQUI,,control,,unmatched
LOJA - CALVAS,3.5880065692401195,control,7.0,province-exact
LOJA - CATAMAYO,3.7602781918950385,control,6.0,province-exact
LOJA - CELICA,3.6943162200813915,control,5.0,province-exact
LOJA - CHAHUARPAMBA,,control,,unmatched
LOJA - GONZANAMA,3.670846211692747,control,5.0,province-exact
LOJA - LOJA,3.7197143430531905,control,19.0,province-exact
LOJA - MACARA,3.5823646879496907,control,5.0,province-exact
LOJA - OLMEDO,3.790510481520249,control,3.0,province-exact
LOJA - PINDAL,3.7639344366941505,control,4.0,province-exact
LOJA - QUILANGA,3.573727463230942,control,3.0,province-exact
LOJA - SARAGURO,3.9565735370667166,control,11.0,province-exact
LOJA - SOZORANGA,3.5723894613750367,control,3.0,province-exact
LOJA - ZAPOTILLO,3.779512451824227,control,7.0,province-exact
LOS RIOS - BABA,6.185815520316516,bin_67,3.0,province-exact
LOS RIOS - BABAHOYO,5.88852297028269,bin_56,8.0,province-exact
LOS RIOS - BUENA FE,7.038236607142856,bin_7p,2.0,province-exact
LOS RIOS - MOCACHE,6.77290200287441,bin_67,1.0,province-exact
LOS RIOS - MONTALVO,5.666016672871254,bin_56,2.0,province-exact
LOS RIOS - PALENQUE,6.7461201126027,bin_67,1.0,province-exact
LOS RIOS - PUEBLO VIEJO,6.309747374708505,bin_67,3.0,province-exact
LOS RIOS - QUEVEDO,6.8354065191121895,bin_67,11.0,province-exact
LOS RIOS - QUINSALOMA,6.553703061995968,bin_67,1.0,province-exact
LOS RIOS - VALENCIA,6.696566974738833,bin_67,1.0,province-exact
LOS RIOS - VENTANAS,6.286124109175347,bin_67,5.0,province-exact
LOS RIOS - VINCES,6.392831144638945,bin_67,2.0,province-exact
MANABI - BOLIVAR,7.6187391125521495,bin_7p,9.0,province-exact
MANABI - CHONE,7.793176536766201,bin_7p,9.0,province-exact
MANABI - EL CARMEN,7.360407672119653,bin_7p,6.0,province-exact
MANABI - FLAVIO ALFARO,7.780875776337072,bin_7p,3.0,province-exact
MANABI - JAMA,8.01875,bin_7p,1.0,province-exact
MANABI - JARAMIJO,7.368174451462766,bin_7p,1.0,province-exact
MANABI - JIPIJAPA,6.48920386749752,bin_67,11.0,province-exact
MANABI - JUNIN,7.578517697892099,bin_7p,1.0,province-exact
MANABI - MANTA,7.2359461812362555,bin_7p,7.0,province-exact
MANABI - MONTECRISTI,7.128457567602552,bin_7p,6.0,province-exact
MANABI - OLMEDO,6.836869884672619,bin_67,3.0,province-exact
MANABI - PAJAN,6.266007345710486,bin_67,5.0,province-exact
MANABI - PEDERNALES,7.987858241386252,bin_7p,4.0,province-exact
MANABI - PICHINCHA,7.4808528384675315,bin_7p,3.0,province-exact
MANABI - PORTOVIEJO,7.32862435134641,bin_7p,16.0,province-exact
MANABI - PUERTO LOPEZ,6.064932319961934,bin_67,3.0,province-exact
MANABI - ROCAFUERTE,7.588926542789564,bin_7p,1.0,province-exact
MANABI - SAN VICENTE,7.965769796708518,bin_7p,2.0,province-exact
MANABI - SANTA ANA,7.105759882919364,bin_7p,6.0,province-exact
MANABI - SUCRE,7.896642739885964,bin_7p,4.0,province-exact
MANABI - TOSAGUA,7.731219351852142,bin_7p,3.0,province-exact
MORONA SANTIAGO - GUALAQUIZA,3.9196054283716926,control,10.0,province-exact
MORONA SANTIAGO - HUAMBOYA,4.3037897961653755,control,2.0,province-exact
MORONA SANTIAGO - LIMON - INDANZA,,control,,unmatched
MORONA SANTIAGO - LOGROÑO,4.061588487415641,control,3.0,province-exact
MORONA SANTIAGO - MORONA,4.208271385320634,control,9.0,province-exact
MORONA SANTIAGO - PABLO SEXTO,4.318790724297531,control,1.0,province-exact
MORONA SANTIAGO - PALORA,4.355346505376405,control,5.0,province-exact
MORONA SANTIAGO - SANTIAGO,4.081479496696415,control,7.0,province-exact
MORONA SANTIAGO - SUCUA,4.1344187214704196,control,4.0,province-exact
MORONA SANTIAGO - TAISHA,3.9514448053178577,control,5.0,province-exact
NAPO - ARCHIDONA,4.423227768326477,control,4.0,province-exact
NAPO - CARLOS JULIO AROSEMENA TOLA,,control,,unmatched
NAPO - EL CHACO,4.338054338075395,control,6.0,province-exact
NAPO - TENA,4.361112250480528,control,8.0,province-exact
ORELLANA - FRANCISCO DE ORELLANA,,control,,unmatched
ORELLANA - LA JOYA DE LOS SACHAS,,control,,unmatched
ORELLANA - LORETO,4.237420160901152,control,6.0,province-exact
