resolution,draw_id,units,n_units,group_capital_mUSD,destroyed_fraction
canton,0,PICHINCHA - QUITO,1,118041.19160040733,0.020659737223387913
canton,1,GUAYAS - GUAYAQUIL,1,76319.20991146695,0.031953947149465776
canton,2,AZUAY - CUENCA,1,10538.781006759318,0.23140247419847484
canton,3,GUAYAS - DURAN,1,4578.10757844257,0.5326873513159389
canton,4,MANABI - MANTA,1,4089.6208357438527,0.5963144501527926
canton,5,TUNGURAHUA - AMBATO,1,3678.458508506783,0.6629679237540061
canton,6,GUAYAS - SAMBORONDON,1,3615.24535178029,0.6745600264167652
canton,7,EL ORO - MACHALA,1,3383.3583669589966,0.7207926963385592
canton,8,ESMERALDAS - ELOY ALFARO|ESMERALDAS - RIO VERDE|IMBABURA - ANTONIO ANTE|IMBABURA - COTACACHI|IMBABURA - SAN MIGUEL DE URCUQUI|PICHINCHA - PEDRO VICENTE MALDONADO|PICHINCHA - PUERTO QUITO|PICHINCHA - SAN MIGUEL DE LOS BANCOS|PICHINCHA - SANTO DOMINGO,9,4086.227224012619,0.59680968930681
canton,9,AZUAY - CAMILO PONCE ENRIQUEZ|AZUAY - PUCARA|EL ORO - ATAHUALPA|EL ORO - CHILLA|EL ORO - EL GUABO|EL ORO - PASAJE|EL ORO - ZARUMA|LOJA - CATAMAYO|LOJA - CHAHUARPAMBA|LOJA - LOJA|LOJA - OLMEDO|LOJA - QUILANGA|ZAMORA CHINCHIPE - ZAMORA,13,3443.596745159735,0.7081839659152304
canton,10,AZUAY - GIRON|AZUAY - SAN FERNANDO|AZUAY - SANTA ISABEL|EL ORO - ARENILLAS|EL ORO - BALSAS|EL ORO - HUAQUILLAS|EL ORO - LAS LAJAS|EL ORO - MARCABELI|EL ORO - PIÑAS|EL ORO - PORTOVELO|EL ORO - SANTA ROSA|GUAYAS - BALAO|GUAYAS - NARANJAL|LOJA - CALVAS|LOJA - CELICA|LOJA - ESPINDOLA|LOJA - GONZANAMA|LOJA - MACARA|LOJA - PALTAS|LOJA - PINDAL|LOJA - PUYANGO|LOJA - SARAGURO|LOJA - SOZORANGA|LOJA - ZAPOTILLO|MORONA SANTIAGO - GUALAQUIZA|ZAMORA CHINCHIPE - CENTINELA DEL CONDOR|ZAMORA CHINCHIPE - CHINCHIPE|ZAMORA CHINCHIPE - EL PANGUI|ZAMORA CHINCHIPE - NANGARITZA|ZAMORA CHINCHIPE - PALANDA|ZAMORA CHINCHIPE - PAQUISHA|ZAMORA CHINCHIPE - YACUAMBI|ZAMORA CHINCHIPE - YANTZAZA,33,2531.4215774589466,0.9633717361483419
canton,11,AZUAY - GUALACEO|AZUAY - NABON|AZUAY - OÑA|AZUAY - PAUTE|AZUAY - SIGSIG|CAÑAR - AZOGUES|CAÑAR - BIBLIAN|CAÑAR - CAÑAR|CAÑAR - DELEG|CAÑAR - EL TAMBO|CAÑAR - LA TRONCAL|CAÑAR - SUSCAL|CHIMBORAZO - CHUNCHI|GUAYAS - EL TRIUNFO|GUAYAS - SAN JACINTO DE YAGUACHI,15,2736.2904378876083,0.8912431101000573
canton,12,BOLIVAR - ECHEANDIA|BOLIVAR - GUARANDA|BOLIVAR - LAS NAVES|CHIMBORAZO - CHAMBO|CHIMBORAZO - GUANO|CHIMBORAZO - RIOBAMBA|COTOPAXI - PANGUA|COTOPAXI - PUJILI|COTOPAXI - SALCEDO|COTOPAXI - SAQUISILI|COTOPAXI - SIGCHOS|MORONA SANTIAGO - HUAMBOYA|MORONA SANTIAGO - MORONA|MORONA SANTIAGO - PABLO SEXTO|TUNGURAHUA - BAÑOS DE AGUA SANTA|TUNGURAHUA - CEVALLOS|TUNGURAHUA - MOCHA|TUNGURAHUA - PATATE|TUNGURAHUA - QUERO|TUNGURAHUA - SAN PEDRO DE PELILEO|TUNGURAHUA - SANTIAGO DE PILLARO|TUNGURAHUA - TISALEO,22,3251.0766853072046,0.7501207249344103
canton,13,ESMERALDAS - ATACAMES|ESMERALDAS - MUISNE|GUAYAS - BALZAR|GUAYAS - COLIMES|GUAYAS - EL EMPALME|GUAYAS - PALESTINA|GUAYAS - SALITRE|LOS RIOS - BABA|LOS RIOS - BUENA FE|LOS RIOS - QUEVEDO|MANABI - BOLIVAR|MANABI - CHONE|MANABI - JAMA|MANABI - JUNIN|MANABI - OLMEDO|MANABI - PAJAN|MANABI - PEDERNALES|MANABI - PICHINCHA|MANABI - ROCAFUERTE|MANABI - SAN VICENTE|MANABI - TOSAGUA,21,3874.457212729093,0.6294301023606418
canton,14,AZUAY - GUACHAPALA|AZUAY - SEVILLA DE ORO|CHIMBORAZO - ALAUSI|CHIMBORAZO - CUMANDA|GUAYAS - ALFREDO BAQUERIZO MORENO|GUAYAS - CORONEL MARCELINO MARIDUEÑA|GUAYAS - MILAGRO|GUAYAS - NARANJITO|LOS RIOS - BABAHOYO,9,3117.933044287848,0.7821527804991757
canton,15,AZUAY - CHORDELEG|AZUAY - EL PAN|CHIMBORAZO - PENIPE|MORONA SANTIAGO - LIMON - INDANZA|MORONA SANTIAGO - LOGROÑO|MORONA SANTIAGO - PALORA|MORONA SANTIAGO - SAN JUAN BOSCO|MORONA SANTIAGO - SANTIAGO|MORONA SANTIAGO - SUCUA|MORONA SANTIAGO - TAISHA|MORONA SANTIAGO - TIWINTZA|ORELLANA - AGUARICO|ORELLANA - FRANCISCO DE ORELLANA|ORELLANA - LA JOYA DE LOS SACHAS|PASTAZA - ARAJUNO|PASTAZA - MERA|PASTAZA - PASTAZA|PASTAZA - SANTA CLARA|SUCUMBIOS - CUYABENO|SUCUMBIOS - LAGO AGRIO|SUCUMBIOS - PUTUMAYO|SUCUMBIOS - SHUSHUFINDI,22,2853.7798940989423,0.8545508380105815
canton,16,COTOPAXI - LATACUNGA|NAPO - CARLOS JULIO AROSEMENA TOLA|NAPO - TENA|PICHINCHA - MEJIA|PICHINCHA - RUMIÑAHUI,5,5168.110121187534,0.47187462008639103
canton,17,CARCHI - BOLIVAR|CARCHI - ESPEJO|CARCHI - MIRA|CARCHI - MONTUFAR|CARCHI - SAN PEDRO DE HUACA|CARCHI - TULCAN|ESMERALDAS - SAN LORENZO|IMBABURA - IBARRA|IMBABURA - OTAVALO|IMBABURA - PIMAMPIRO|NAPO - ARCHIDONA|NAPO - EL CHACO|NAPO - QUIJOS|ORELLANA - LORETO|PICHINCHA - CAYAMBE|PICHINCHA - PEDRO MONCAYO|SUCUMBIOS - CASCALES|SUCUMBIOS - GONZALO PIZARRO|SUCUMBIOS - SUCUMBIOS,19,3435.3322112202577,0.7098876760840995
canton,18,BOLIVAR - CALUMA|BOLIVAR - CHILLANES|BOLIVAR - CHIMBO|BOLIVAR - SAN MIGUEL|CHIMBORAZO - COLTA|CHIMBORAZO - GUAMOTE|CHIMBORAZO - PALLATANGA|COTOPAXI - LA MANA|GUAYAS - GENERAL ANTONIO ELIZALDE|GUAYAS - SIMON BOLIVAR|LOS RIOS - MOCACHE|LOS RIOS - MONTALVO|LOS RIOS - PALENQUE|LOS RIOS - PUEBLO VIEJO|LOS RIOS - QUINSALOMA|LOS RIOS - URDANETA|LOS RIOS - VALENCIA|LOS RIOS - VENTANAS|LOS RIOS - VINCES,19,2823.5701783687664,0.8636937798404168
canton,19,MANABI - JARAMIJO|MANABI - MONTECRISTI|MANABI - PORTOVIEJO|MANABI - SUCRE,4,4709.166738313703,0.5178623173732153
canton,20,GUAYAS - DAULE|GUAYAS - ISIDRO AYORA|GUAYAS - LA LIBERTAD|GUAYAS - LOMAS DE SARGENTILLO|GUAYAS - NOBOL (VICENTE PIEDRAHITA)|GUAYAS - PEDRO CARBO|GUAYAS - PLAYAS (GENERAL VILLAMIL)|GUAYAS - SALINAS|GUAYAS - SANTA ELENA|GUAYAS - SANTA LUCIA|MANABI - 24 DE MAYO|MANABI - JIPIJAPA|MANABI - PUERTO LOPEZ|MANABI - SANTA ANA,14,3267.1201214081934,0.7464372013811577
canton,21,ESMERALDAS - ESMERALDAS|ESMERALDAS - LA CONCORDIA|ESMERALDAS - QUININDE|MANABI - EL CARMEN|MANABI - FLAVIO ALFARO,5,4047.860777279379,0.6024663727785328
