resolution,draw_id,units,n_units,group_capital_mUSD,destroyed_fraction
province,0,PICHINCHA,1,125620.18543887931,0.01941328132481187
province,1,GUAYAS,1,92464.89107233183,0.026374334860701842
province,2,AZUAY,1,10999.881547394294,0.22170238738413425
province,3,MANABI,1,10288.14478054964,0.2370398212718108
province,4,EL ORO,1,5763.320959288856,0.4231414521638778
province,5,LOS RIOS,1,5277.623098089171,0.4620830162887079
province,6,TUNGURAHUA,1,4266.729560545969,0.5715618872474177
province,7,ESMERALDAS,1,4173.017044771697,0.5843973254447656
province,8,CAÑAR|CHIMBORAZO|MORONA SANTIAGO,3,3633.932559792431,0.6710911553458486
province,9,LOJA|ZAMORA CHINCHIPE,2,2482.1470740419854,0.9824961725691639
province,10,BOLIVAR|COTOPAXI,2,2739.2443869142307,0.8902820104880108
province,11,NAPO|ORELLANA|PASTAZA|SUCUMBIOS,4,3270.7960292777025,0.7455983125118761
province,12,CARCHI|IMBABURA,2,2610.0025769088147,0.9343668935715386
