resolution,draw_id,units,n_units,group_capital_mUSD,destroyed_fraction
province_sector,0,PICHINCHA_CON,1,20243.48711108299,0.120468375167678
province_sector,1,PICHINCHA_ADP,1,13219.885931870596,0.18447209095206824
province_sector,2,PICHINCHA_MIP,1,9267.606348478386,0.2631423809234626
province_sector,3,PICHINCHA_ADM,1,7830.144103448444,0.31145020676260365
province_sector,4,PICHINCHA_EDU,1,7399.864843862228,0.32956007325225195
province_sector,5,PICHINCHA_COM,1,7194.820485255113,0.33895216774314396
province_sector,6,PICHINCHA_SAL,1,5556.504116350901,0.4388910633259022
province_sector,7,PICHINCHA_TRA,1,4920.46848731753,0.49562353793865976
province_sector,8,PICHINCHA_INM,1,4659.8089821623635,0.5233476327753529
province_sector,9,PICHINCHA_FIN,1,3962.2531674391607,0.6154831347074556
province_sector,10,PICHINCHA_TEL,1,2811.037390389541,0.8675444902787492
province_sector,11,PICHINCHA_RES,1,2726.570141117098,0.8944204160472632
province_sector,12,PICHINCHA_MAQ,1,2592.7643168722734,0.9405791278946148
province_sector,13,PICHINCHA_ASO,1,2447.3337605900515,0.9964721768934491
province_sector,14,PICHINCHA_CAR|PICHINCHA_QU2,2,4396.491338466683,0.5546923244594675
province_sector,15,PICHINCHA_GAN|PICHINCHA_MAD|PICHINCHA_SIL,3,3565.716797059482,0.6839298067673539
province_sector,16,PICHINCHA_BNA|PICHINCHA_PAN|PICHINCHA_SEG,3,2979.128352169213,0.8185951431814922
province_sector,17,PICHINCHA_ALD|PICHINCHA_CEM|PICHINCHA_MET,3,2610.24243206957,0.934281034603533
province_sector,18,PICHINCHA_DEM|PICHINCHA_HIL|PICHINCHA_REP|PICHINCHA_VES,4,2796.682068504887,0.8719975815140599
province_sector,19,PICHINCHA_AYG|PICHINCHA_CIN|PICHINCHA_CON|PICHINCHA_MAN|PICHINCHA_QU1,5,2839.431833530832,0.8588690072434236
province_sector,20,PICHINCHA_EDU|PICHINCHA_ELE|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_MUE|PICHINCHA_PLS|PICHINCHA_POS,7,2552.850443456869,0.9552851034617227
province_sector,21,PICHINCHA_CHO|PICHINCHA_CIN|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_DOM|PICHINCHA_HOT|PICHINCHA_LAC|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_PAP|PICHINCHA_TRA,11,2614.90314415994,0.9326158046987446
province_sector,22,PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_AGU|PICHINCHA_CAU|PICHINCHA_CON|PICHINCHA_CUL|PICHINCHA_DOM|PICHINCHA_EDU|PICHINCHA_FID|PICHINCHA_MAD|PICHINCHA_MAQ|PICHINCHA_MOL|PICHINCHA_QU2|PICHINCHA_SAL|PICHINCHA_TAB|PICHINCHA_TRA|PICHINCHA_TRA|PICHINCHA_VID,18,2525.7917813279446,0.9655190178494618
province_sector,23,PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_ADM|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_ADP|PICHINCHA_AGU|PICHINCHA_AGU|PICHINCHA_AGU|PICHINCHA_AGU|PICHINCHA_AGU|PICHINCHA_AGU|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ALD|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_ASO|PICHINCHA_AYG|PICHINCHA_AYG|PICHINCHA_AYG|PICHINCHA_AYG|PICHINCHA_AZU|PICHINCHA_AZU|PICHINCHA_AZU|PICHINCHA_AZU|PICHINCHA_BAL|PICHINCHA_BAL|PICHINCHA_BAL|PICHINCHA_BAL|PICHINCHA_BNA|PICHINCHA_BNA|PICHINCHA_BNA|PICHINCHA_BNA|PICHINCHA_CAN|PICHINCHA_CAN|PICHINCHA_CAN|PICHINCHA_CAN|PICHINCHA_CAN|PICHINCHA_CAN|PICHINCHA_CAR|PICHINCHA_CAR|PICHINCHA_CAR|PICHINCHA_CAR|PICHINCHA_CAR|PICHINCHA_CAU|PICHINCHA_CAU|PICHINCHA_CAU|PICHINCHA_CAU|PICHINCHA_CAU|PICHINCHA_CEM|PICHINCHA_CEM|PICHINCHA_CEM|PICHINCHA_CEM|PICHINCHA_CEM|PICHINCHA_CEM|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CER|PICHINCHA_CHO|PICHINCHA_CHO|PICHINCHA_CHO|PICHINCHA_CHO|PICHINCHA_CHO|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_CIN|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_COM|PICHINCHA_CON|PICHINCHA_CON|PICHINCHA_CON|PICHINCHA_CON|PICHINCHA_CON|PICHINCHA_CON|PICHINCHA_CUE|PICHINCHA_CUE|PICHINCHA_CUE|PICHINCHA_CUE|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_CUL|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DEM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_DOM|PICHINCHA_EDU|PICHINCHA_EDU|PICHINCHA_EDU|PICHINCHA_EDU|PICHINCHA_EDU|PICHINCHA_EDU|PICHINCHA_ELE|PICHINCHA_ELE|PICHINCHA_ELE|PICHINCHA_ELE|PICHINCHA_ELE|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FIN|PICHINCHA_FRT|PICHINCHA_FRT|PICHINCHA_FRT|PICHINCHA_FRT|PICHINCHA_FRT|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_FRV|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_GAN|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HIL|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_HOT|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_INM|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_LAC|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAD|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAN|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MAQ|PICHINCHA_MET|PICHINCHA_MET|PICHINCHA_MET|PICHINCHA_MET|PICHINCHA_MET|PICHINCHA_MIP|PICHINCHA_MIP|PICHINCHA_MIP|PICHINCHA_MIP|PICHINCHA_MIP|PICHINCHA_MIP|PICHINCHA_MOL|PICHINCHA_MOL|PICHINCHA_MOL|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_MUE|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAN|PICHINCHA_PAP|PICHINCHA_PAP|PICHINCHA_PAP|PICHINCHA_PAP|PICHINCHA_PAP|PICHINCHA_PAP|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PES|PICHINCHA_PLS|PICHINCHA_PLS|PICHINCHA_PLS|PICHINCHA_PLS|PICHINCHA_PLS|PICHINCHA_POS|PICHINCHA_POS|PICHINCHA_POS|PICHINCHA_POS|PICHINCHA_POS|PICHINCHA_POS|PICHINCHA_PPR|PICHINCHA_QU1|PICHINCHA_QU1|PICHINCHA_QU1|PICHINCHA_QU1|PICHINCHA_QU1|PICHINCHA_QU1|PICHINCHA_QU2|PICHINCHA_QU2|PICHINCHA_QU2|PICHINCHA_QU2|PICHINCHA_QU2|PICHINCHA_REF|PICHINCHA_REF|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_REP|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_RES|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SAL|PICHINCHA_SEG|PICHINCHA_SEG|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_SIL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TEL|PICHINCHA_TRA|PICHINCHA_TRA|PICHINCHA_TRA|PICHINCHA_TRA|PICHINCHA_TRA|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VES|PICHINCHA_VID|PICHINCHA_VID|PICHINCHA_VID|PICHINCHA_VID|PICHINCHA_VID|PICHINCHA_VID,349,3906.3980618972114,0.6242835372531396
province_sector,24,GUAYAS_CON,1,9247.757882116653,0.2637071635186261
province_sector,25,GUAYAS_ADP,1,4793.199816640936,0.5087832957710984
province_sector,26,GUAYAS_REF,1,4699.718548201404,0.5189034141062123
province_sector,27,GUAYAS_COM,1,4259.864808136315,0.5724829565816497
province_sector,28,GUAYAS_SAL,1,4102.954800777583,0.5943765209253152
province_sector,29,GUAYAS_TRA,1,4091.4003270578028,0.5960550924024859
province_sector,30,GUAYAS_ADM,1,3884.0988589986027,0.6278676440868821
province_sector,31,GUAYAS_EDU,1,3847.7567570522024,0.6337978604105702
province_sector,32,GUAYAS_INM,1,3564.4579256622114,0.6841713525197337
province_sector,33,GUAYAS_TEL,1,2766.077796153803,0.8816454849501999
province_sector,34,GUAYAS_FIN,1,2612.513368244121,0.933468907620962
province_sector,35,GUAYAS_BAL|GUAYAS_PES,2,4617.89078803241,0.5280982405040984
province_sector,36,GUAYAS_CEM|GUAYAS_FRT,2,3560.241817630149,0.6849815616241776
province_sector,37,GUAYAS_ASO|GUAYAS_QU2,2,2776.1159912502376,0.8784575312005314
province_sector,38,GUAYAS_ELE|GUAYAS_PLS|GUAYAS_RES,3,3561.874709141447,0.684667541432928
province_sector,39,GUAYAS_MAQ|GUAYAS_PPR|GUAYAS_REP,3,3185.825197883369,0.7654845600506418
province_sector,40,GUAYAS_LAC|GUAYAS_PAP|GUAYAS_REF,3,2776.7305456076983,0.878263108337104
province_sector,41,GUAYAS_AGU|GUAYAS_EDU|GUAYAS_MOL|GUAYAS_SEG,4,2734.3024991394013,0.8918910767069701
province_sector,42,GUAYAS_CAN|GUAYAS_CON|GUAYAS_DEM|GUAYAS_MAN|GUAYAS_MET,5,2781.445059557438,0.8767744635545764
province_sector,43,GUAYAS_DOM|GUAYAS_FRT|GUAYAS_FRV|GUAYAS_HIL|GUAYAS_PAN|GUAYAS_PLS|GUAYAS_SIL,7,2649.607793368978,0.9204003725016189
province_sector,44,GUAYAS_ADM|GUAYAS_CON|GUAYAS_FRV|GUAYAS_FRV|GUAYAS_MAD|GUAYAS_MOL|GUAYAS_PAP|GUAYAS_PPR|GUAYAS_PPR,9,2573.9931760836093,0.9474384091843393
province_sector,45,GUAYAS_ADP|GUAYAS_ADP|GUAYAS_AZU|GUAYAS_CAR|GUAYAS_CHO|GUAYAS_COM|GUAYAS_CON|GUAYAS_CUL|GUAYAS_FRT|GUAYAS_HOT|GUAYAS_INM,11,2471.2910888652164,0.9868121205907063
province_sector,46,GUAYAS_ADP|GUAYAS_BNA|GUAYAS_CAN|GUAYAS_COM|GUAYAS_DEM|GUAYAS_FIN|GUAYAS_FRT|GUAYAS_MAN|GUAYAS_MIP|GUAYAS_MUE|GUAYAS_PAP|GUAYAS_PPR|GUAYAS_VES|GUAYAS_VID,14,2463.076267751308,0.9901033240137697
province_sector,47,GUAYAS_ALD|GUAYAS_CAN|GUAYAS_CIN|GUAYAS_CIN|GUAYAS_COM|GUAYAS_CON|GUAYAS_CUE|GUAYAS_EDU|GUAYAS_EDU|GUAYAS_FRT|GUAYAS_FRV|GUAYAS_FRV|GUAYAS_GAN|GUAYAS_INM|GUAYAS_MOL|GUAYAS_POS|GUAYAS_QU1|GUAYAS_QU1|GUAYAS_QU2|GUAYAS_TEL|GUAYAS_TRA|GUAYAS_TRA,22,2518.8115987072624,0.9681946840532343
province_sector,48,GUAYAS_ADM|GUAYAS_ADM|GUAYAS_ADP|GUAYAS_ADP|GUAYAS_ASO|GUAYAS_ASO|GUAYAS_CAU|GUAYAS_CER|GUAYAS_CER|GUAYAS_CER|GUAYAS_CER|GUAYAS_CIN|GUAYAS_CIN|GUAYAS_COM|GUAYAS_CON|GUAYAS_CON|GUAYAS_CON|GUAYAS_CON|GUAYAS_EDU|GUAYAS_EDU|GUAYAS_EDU|GUAYAS_EDU|GUAYAS_FRT|GUAYAS_FRV|GUAYAS_FRV|GUAYAS_FRV|GUAYAS_MAN|GUAYAS_MAQ|GUAYAS_MOL|GUAYAS_MOL|GUAYAS_MOL|GUAYAS_MOL|GUAYAS_PES|GUAYAS_PES|GUAYAS_PES|GUAYAS_PES|GUAYAS_PES|GUAYAS_RES|GUAYAS_SAL|GUAYAS_SIL|GUAYAS_SIL|GUAYAS_TRA|GUAYAS_TRA,43,2457.059178453546,0.9925279868655418
