resolution,draw_id,units,n_units,group_capital_mUSD,destroyed_fraction
sector,0,CON,1,37067.932381307015,0.06579001965671578
sector,1,ADP,1,21486.55914303487,0.1134988614866487
sector,2,EDU,1,17266.176790889087,0.1412414589248755
sector,3,COM,1,15458.55364062966,0.15775732042552634
sector,4,ADM,1,15423.973600873396,0.15811100713125611
sector,5,TRA,1,14480.447101903783,0.16841330815533848
sector,6,SAL,1,11912.965755765414,0.20470972971778784
sector,7,MIP,1,10238.161041429217,0.23819707368654208
sector,8,INM,1,10079.47377574476,0.24194715460925015
sector,9,FIN,1,7333.605626828094,0.33253765256733314
sector,10,FRT,1,6419.030862967269,0.37991716383066015
sector,11,RES,1,6048.1863669828745,0.40321178152063797
sector,12,TEL,1,6027.034230093715,0.4046268706793258
sector,13,REF,1,5663.705791117856,0.4305838067762113
sector,14,PPR,1,5640.295044409094,0.4323709984670652
sector,15,ASO,1,5299.2683551224945,0.46019560372756935
sector,16,FRV,1,4586.564404125962,0.5317051686456653
sector,17,MAQ,1,4380.449730502322,0.5567236585363907
sector,18,QU2,1,3975.4017337060427,0.6134474358460716
sector,19,PES,1,3696.7855947054168,0.6596812115619409
sector,20,CIN,1,3523.4406080241606,0.6921359748327216
sector,21,CAR,1,3443.9819536965047,0.7081047557123484
sector,22,ELE,1,3420.2341772242744,0.7130213528183476
sector,23,REP,1,2791.2480475495154,0.8736951924215322
sector,24,CEM,1,2684.9458926662505,0.9082864599473476
sector,25,BAL,1,2520.905090213388,0.967390644521873
sector,26,DEM|SIL,2,4826.009386906126,0.5053243382859248
sector,27,GAN|PLS,2,4643.0185992027555,0.5252401961988145
sector,28,MAD|MOL,2,4497.595674182362,0.542223040189877
sector,29,MAN|PAP,2,3905.3590528740187,0.6244496260095009
sector,30,AYG|PAN,2,3251.3974850406325,0.7500467141345296
sector,31,MET|SEG,2,3112.4051836783106,0.783541941386272
sector,32,LAC|VES,2,3041.177916579527,0.8018932357442783
sector,33,HIL|MUE,2,2820.6065823477284,0.864601258205301
sector,34,BNA|CER,2,2604.9014073355384,0.9361966610837912
sector,35,ALD|CAN|DOM,3,3396.495872726222,0.718004699956417
sector,36,AGU|HOT|QU1,3,2843.5470259471713,0.8576260486452413
sector,37,AZU|CAU|CHO|CUE|CUL|FID|POS|TAB|VID,9,4276.488525214096,0.5702575806345488
