run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2026_fc0910_base,39,22573.0,0.549,0.975,3.8,26352.0,1.235,19124.0,386.2,6131.0,12992.0,83.0,4.9,38.0,44.0,177.0,0.8,11.0,166.0,1027.0,41.2,570.0,457.0,14.0,0.4,6.0,8.0,22.0,0.4,2.0,20.0,20787.0,444.1,6885.0,13902.0,20659.0,2.163,4.154,18,17,184.0,0.079,0.148,9,12,181.0,0.165,0.335,9,13,1101.0,0.169,0.292,10,13,14.0,0.007,0.014,9,3,40.0,0.029,0.057,9,11
2018_baseline,42,13521.0,0.329,0.658,3.39,14936.0,0.823,11722.0,204.9,3511.0,8211.0,46.0,1.9,9.0,37.0,109.0,0.1,1.0,108.0,296.0,2.8,35.0,261.0,3.0,0.1,2.0,1.0,11.0,0.2,0.0,10.0,12316.0,211.4,3573.0,8743.0,12790.0,1.339,2.81,22,12,115.0,0.049,0.129,16,10,111.0,0.101,0.314,16,7,330.0,0.051,0.181,16,7,3.0,0.001,0.008,17,0,23.0,0.017,0.05,16,9
2026_fc0910_nopool,31,84720.0,2.06,5.3,9.77,101505.0,6.54,40298.0,598.5,14869.0,25429.0,5063.0,99.6,3014.0,2049.0,4414.0,38.9,891.0,3523.0,4475.0,102.1,2292.0,2182.0,134.0,3.0,79.0,55.0,4859.0,45.8,1204.0,3655.0,75713.0,1109.1,28424.0,47290.0,44648.0,4.674,10.158,19,17,5763.0,2.464,10.99,21,17,5002.0,4.562,8.987,19,17,5027.0,0.773,1.654,17,15,166.0,0.082,0.558,19,5,5350.0,3.93,15.117,20,17
2018_nopool,42,28102.0,0.683,1.842,4.09,30246.0,1.975,17676.0,321.2,5326.0,12351.0,204.0,10.1,135.0,69.0,2068.0,14.0,202.0,1865.0,499.0,13.5,220.0,279.0,1.0,0.0,1.0,0.0,1223.0,17.0,290.0,934.0,24359.0,411.9,6739.0,17620.0,20241.0,2.119,4.739,22,12,353.0,0.151,0.305,21,11,2266.0,2.067,7.178,23,11,626.0,0.096,0.192,21,10,1.0,0.001,0.003,16,0,1405.0,1.032,6.697,24,12
2026_fc0910_seed1,31,19033.0,0.463,0.82,3.37,20073.0,1.075,16107.0,266.3,6180.0,9927.0,157.0,7.3,125.0,32.0,24.0,0.6,11.0,12.0,1084.0,5.0,75.0,1009.0,4.0,0.2,4.0,0.0,9.0,0.3,0.0,8.0,17626.0,289.1,6568.0,11058.0,17375.0,1.819,3.368,17,18,201.0,0.086,0.164,9,12,29.0,0.026,0.048,8,9,1132.0,0.174,0.278,15,16,5.0,0.002,0.004,8,0,24.0,0.017,0.054,9,7
2026_fc0910_seed2,31,21422.0,0.521,0.951,3.41,25494.0,1.147,18961.0,274.9,6380.0,12581.0,83.0,3.3,27.0,57.0,116.0,0.8,14.0,102.0,379.0,1.6,29.0,349.0,12.0,0.2,5.0,7.0,22.0,0.3,0.0,21.0,19934.0,289.9,6609.0,13325.0,20266.0,2.121,4.003,17,17,183.0,0.078,0.156,8,14,120.0,0.11,0.218,9,14,395.0,0.061,0.105,8,10,13.0,0.006,0.019,19,2,39.0,0.029,0.058,9,11
2026_fc0910_seed3,31,12238.0,0.298,0.603,3.4,14462.0,0.763,10044.0,161.3,3733.0,6311.0,193.0,8.6,162.0,31.0,120.0,0.9,16.0,104.0,828.0,27.7,578.0,250.0,8.0,0.4,8.0,0.0,37.0,1.3,22.0,16.0,11456.0,209.1,4682.0,6773.0,10749.0,1.125,2.427,17,18,217.0,0.093,0.16,9,13,124.0,0.113,0.266,8,13,843.0,0.13,0.206,15,15,8.0,0.004,0.008,8,0,43.0,0.032,0.063,9,11
2026_fc0910_seed4,31,20430.0,0.497,0.913,3.61,23766.0,1.188,17963.0,233.8,5397.0,12566.0,131.0,5.6,80.0,50.0,266.0,0.3,4.0,262.0,436.0,9.4,175.0,261.0,6.0,0.2,4.0,2.0,22.0,0.3,0.0,22.0,19246.0,256.8,5788.0,13459.0,18958.0,1.985,3.828,18,16,208.0,0.089,0.16,9,13,272.0,0.248,0.442,11,14,478.0,0.074,0.131,16,13,7.0,0.003,0.007,18,0,42.0,0.031,0.058,9,15
2026_fc0910_seed5,31,21229.0,0.516,0.818,3.49,24014.0,1.019,18860.0,285.7,6517.0,12342.0,123.0,4.0,37.0,87.0,112.0,0.8,13.0,98.0,437.0,3.1,55.0,382.0,9.0,0.2,4.0,5.0,11.0,0.3,0.0,11.0,19850.0,302.6,6769.0,13080.0,20017.0,2.095,3.411,17,18,227.0,0.097,0.158,13,14,116.0,0.106,0.224,9,13,470.0,0.072,0.126,9,10,9.0,0.005,0.01,17,1,27.0,0.02,0.053,9,7
2026_fc0910_seed6,31,24890.0,0.605,1.174,3.65,28115.0,1.431,22113.0,334.3,7773.0,14340.0,91.0,3.2,22.0,69.0,153.0,0.7,12.0,141.0,283.0,4.7,89.0,195.0,18.0,0.2,4.0,14.0,17.0,0.2,0.0,17.0,23020.0,350.5,8018.0,15002.0,23765.0,2.488,4.996,18,19,193.0,0.082,0.161,13,14,157.0,0.143,0.349,11,14,327.0,0.05,0.088,15,12,19.0,0.009,0.026,19,4,31.0,0.023,0.052,9,10
