== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
weeks                                39.000         42.000              31.000       42.000             31.000             31.000             31.000             31.000             31.000             31.000             31.000             31.000             31.000              31.000              31.000               31.000               31.000              31.000               31.000              31.000                31.00             31.000                  31.000                  31.000              31.000              31.000           31.000           31.000
EU_cum_mUSD                       22573.000      13521.000           84720.000    28102.000          19033.000          21422.000          12238.000          20430.000          21229.000          24890.000          19014.000          16626.000          12019.000           20418.000           11313.000            12547.000             2185.000            8343.000            16548.000           22615.000                 5.00          27637.000               11592.000               27637.000           94976.000            9086.000        22573.000        22573.000
EU_%quarter                           0.549          0.329               2.060        0.683              0.463              0.521              0.298              0.497              0.516              0.605              0.462              0.404              0.292               0.497               0.275                0.305                0.053               0.203                0.402               0.550                 0.00              0.672                   0.282                   0.672               2.310               0.221            0.549            0.549
EU_peak_%week                         0.975          0.658               5.300        1.842              0.820              0.951              0.603              0.913              0.818              1.174              0.846              0.543              0.540               0.780               0.473                0.519                0.194               0.473                0.709               0.977                 0.00              1.210                   0.482                   1.210               2.456               0.442            0.975            0.975
firms<99%_peak_%                      3.800          3.390               9.770        4.090              3.370              3.410              3.400              3.610              3.490              3.650              3.680              3.510              3.220               3.780               1.650                3.800                2.880               3.060                3.440               3.800                 0.12              3.940                   3.580                   3.940              16.360               3.050            3.800            3.800
cons_loss_cum_mUSD                26352.000      14936.000          101505.000    30246.000          20073.000          25494.000          14462.000          23766.000          24014.000          28115.000          20985.000          18755.000          13252.000           22304.000           11707.000            13723.000             2110.000            8247.000            19233.000           25810.000                 0.00          32726.000               12096.000               32726.000          124092.000            9031.000        25726.000        25726.000
cons_loss_peak_%                      1.235          0.823               6.540        1.975              1.075              1.147              0.763              1.188              1.019              1.431              0.963              0.666              0.574               0.997               0.662                0.680                0.150               0.373                0.942               1.238                 0.00              1.482                   0.662                   1.482               3.339               0.348            1.235            1.235
DEU_net_mUSD                      19124.000      11722.000           40298.000    17676.000          16107.000          18961.000          10044.000          17963.000          18860.000          22113.000          16334.000          14617.000           9228.000           18178.000            9783.000             9945.000             1627.000            6861.000            13843.000           19303.000                 1.00          24072.000                9832.000               24072.000           55144.000            7516.000        19266.000        19266.000
DEU_delay_mUSD                      386.200        204.900             598.500      321.200            266.300            274.900            161.300            233.800            285.700            334.300            255.300            247.900            110.800             214.300             126.000              130.700                9.100              75.000              184.700             262.700                 0.00            374.800                 127.200                 374.800             968.100              67.700          262.400          262.400
DEU_net_deferrable_mUSD            6131.000       3511.000           14869.000     5326.000           6180.000           6380.000           3733.000           5397.000           6517.000           7773.000           5782.000           5715.000           2610.000            4775.000            2522.000             2604.000              173.000            1565.000             4434.000            6279.000                 0.00           8204.000                2542.000                8204.000           22126.000            1398.000         6274.000         6274.000
