== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2018_inv125  2018_inv150  2018_inv175  2018_inv200  2018_inv150_liq40  2026_fc0910_inv200
weeks                           42.000       42.000       42.000       42.000             42.000              31.000
EU_cum_mUSD                   6940.000     5360.000     4361.000     3498.000           2498.000            6257.000
EU_%quarter                      0.169        0.130        0.106        0.085              0.061               0.152
EU_peak_%week                    0.440        0.404        0.364        0.305              0.222               0.353
firms<99%_peak_%                 2.950        2.650        2.620        2.610              2.650               2.910
cons_loss_cum_mUSD            5755.000     4135.000     3351.000     2716.000           1758.000            5419.000
cons_loss_peak_%                 0.322        0.270        0.227        0.187              0.140               0.247
DEU_net_mUSD                  6135.000     4736.000     3795.000     2973.000           2019.000            5006.000
DEU_delay_mUSD                  72.100       46.900       32.800       21.700             16.600              35.300
DEU_net_deferrable_mUSD       1186.000      774.000      531.000      336.000            267.000             714.000
DEU_gross_perishable_mUSD     4948.000     3961.000     3265.000     2637.000           1752.000            4292.000
EU_net_mUSD                   6567.000     5102.000     4127.000     3277.000           2323.000            5881.000
EU_delay_mUSD                   78.100       53.100       39.400       28.700             23.200              65.200
EU_net_deferrable_mUSD        1245.000      839.000      605.000      417.000            352.000            1216.000
EU_gross_perishable_mUSD      5321.000     4263.000     3522.000     2859.000           1970.000            4664.000
DEU_cum_mUSD                  6383.000     4874.000     3917.000     3087.000           2115.000            5178.000
DEU_%quarter                     0.668        0.510        0.410        0.323              0.221               0.542
DEU_peak_%week                   1.821        1.665        1.489        1.253              0.843               1.418
DEU_peak_week                   21.000       21.000       21.000       21.000             21.000              17.000
DEU_loss_weeks                  11.000       11.000       10.000        9.000              8.000              14.000

== other countries ==
run                        2018_inv125  2018_inv150  2018_inv175  2018_inv200  2018_inv150_liq40  2026_fc0910_inv200
NLD_net_mUSD                    35.000       45.000       52.000       57.000             56.000              87.000
NLD_delay_mUSD                   2.400        2.700        3.000        3.200              3.000               4.800
NLD_net_deferrable_mUSD         20.000       26.000       32.000       36.000             39.000              61.000
NLD_gross_perishable_mUSD       15.000       19.000       20.000       21.000             17.000              25.000
AUT_net_mUSD                    75.000       43.000       18.000        2.000             41.000              15.000
AUT_delay_mUSD                   0.100        0.100        0.100        0.100              0.100               0.700
AUT_net_deferrable_mUSD          1.000        2.000        2.000        2.000              2.000              12.000
AUT_gross_perishable_mUSD       73.000       41.000       16.000        1.000             39.000               2.000
FRA_net_mUSD                   224.000      202.000      189.000      176.000            144.000             530.000
FRA_delay_mUSD                   1.600        1.200        1.200        1.200              1.000              14.700
FRA_net_deferrable_mUSD         17.000       11.000       12.000       12.000             10.000             256.000
FRA_gross_perishable_mUSD      207.000      190.000      177.000      164.000            133.000             274.000
CHE_net_mUSD                     2.000        1.000        1.000        1.000              1.000               4.000
CHE_delay_mUSD                   0.100        0.100        0.000        0.000              0.000               0.200
CHE_net_deferrable_mUSD          1.000        1.000        1.000        1.000              1.000               4.000
CHE_gross_perishable_mUSD        0.000        0.000        0.000        0.000              0.000               0.000
BEL_net_mUSD                    10.000       10.000       12.000       14.000             15.000              17.000
BEL_delay_mUSD                   0.200        0.300        0.300        0.400              0.500               0.600
BEL_net_deferrable_mUSD          0.000        1.000        2.000        3.000              5.000               5.000
BEL_gross_perishable_mUSD       10.000       10.000       10.000       11.000              9.000              12.000
NLD_cum_mUSD                    97.000      107.000      111.000      114.000             95.000             168.000
NLD_%quarter                     0.042        0.046        0.048        0.049              0.040               0.072
NLD_peak_%week                   0.127        0.127        0.127        0.127              0.127               0.147
NLD_peak_week                   16.000       16.000       16.000       16.000             16.000               9.000
NLD_loss_weeks                   8.000        8.000        8.000        8.000              8.000              12.000
AUT_cum_mUSD                    76.000       44.000       19.000        3.000             42.000              17.000
AUT_%quarter                     0.069        0.040        0.017        0.003              0.038               0.015
AUT_peak_%week                   0.301        0.234        0.067        0.023              0.234               0.034
AUT_peak_week                   16.000       16.000       16.000       16.000             16.000               9.000
AUT_loss_weeks                   8.000        5.000        6.000        2.000              3.000               8.000
FRA_cum_mUSD                   253.000      229.000      215.000      203.000            167.000             607.000
FRA_%quarter                     0.039        0.035        0.033        0.031              0.026               0.093
FRA_peak_%week                   0.137        0.123        0.123        0.116              0.123               0.207
FRA_peak_week                   16.000       16.000       16.000       16.000             16.000               9.000
FRA_loss_weeks                   7.000        7.000        7.000        6.000              5.000              11.000
CHE_cum_mUSD                     2.000        1.000        1.000        1.000              1.000               4.000
CHE_%quarter                     0.001        0.001        0.001        0.001              0.001               0.002
CHE_peak_%week                   0.003        0.003        0.003        0.003              0.003               0.004
CHE_peak_week                   17.000       16.000       16.000       16.000             16.000               8.000
CHE_loss_weeks                   0.000        0.000        0.000        0.000              0.000               0.000
BEL_cum_mUSD                    23.000       24.000       26.000       26.000             22.000              33.000
BEL_%quarter                     0.017        0.018        0.019        0.019              0.016               0.024
BEL_peak_%week                   0.049        0.049        0.049        0.049              0.049               0.057
BEL_peak_week                   16.000       16.000       16.000       16.000             16.000               9.000
BEL_loss_weeks                   7.000        7.000        7.000        7.000              7.000               9.000

== weekly value-added loss of DEU (mUSD/week) ==
           2018_inv125  2018_inv150  2018_inv175  2018_inv200  2018_inv150_liq40  2026_fc0910_inv200
time_step                                                                                           
0                  0.0          0.0          0.0          0.0                0.0                 0.0
1                  0.0          0.0          0.0          0.0                0.0                 0.0
2                  0.0          0.0          0.0          0.0                0.0                 0.0
3                  0.0          0.0          0.0          0.0                0.0                 0.0
4                  0.0          0.0          0.0          0.0                0.0                 0.0
5                  0.0          0.0          0.0          0.0                0.0                 0.0
6                  0.0          0.0          0.0          0.0                0.0                 0.0
7                  0.0          0.0          0.0          0.0                0.0                38.6
8                  0.0          0.0          0.0          0.0                0.0               295.8
9                  0.0          0.0          0.0          0.0                0.0               402.9
10                 0.0          0.0          0.0          0.0                0.0               437.2
11                 0.0          0.0          0.0          0.0                0.0               107.3
12                 0.0          0.0          0.0          0.0                0.0                 8.7
13                 0.0          0.0          0.0          0.0                0.0                76.3
14                 0.0          0.0          0.0          0.0                0.0               427.5
15               230.6        140.3         74.9         27.3              140.3               764.1
16               519.2        400.8        352.3        292.8              400.8              1037.8
17               298.3         33.8         33.8         33.9               33.8              1041.9
18               460.6        342.8        285.5        252.7                7.1               511.3
19              1022.9        834.2        483.0        444.0                0.4                13.8
20              1279.7       1132.3        902.7        504.2              249.8                12.0
21              1338.4       1223.6       1094.2        921.0              619.8                 2.7
22               924.6        699.3        652.6        592.2              611.5                 0.0
23               255.5         32.6         17.9         12.0               37.4                 0.0
24                37.6         23.8         14.9          5.8               10.4                 0.0
25                13.6         10.0          4.7          1.1                3.4                 0.0
26                 1.8          0.6          0.1          0.0                0.1                 0.0
27                 0.1          0.0          0.0          0.0                0.0                 0.0
28                 0.1          0.0          0.0          0.0                0.0                 0.0
29                 0.0          0.0          0.0          0.0                0.0                 0.0
30                 0.0          0.0          0.0          0.0                0.0                 0.0
31                 0.0          0.0          0.0          0.0                0.0                 0.0
32                 0.0          0.0          0.0          0.0                0.0                 NaN
33                 0.0          0.0          0.0          0.0                0.0                 NaN
34                 0.0          0.0          0.0          0.0                0.0                 NaN
35                 0.0          0.0          0.0          0.0                0.0                 NaN
36                 0.0          0.0          0.0          0.0                0.0                 NaN
37                 0.0          0.0          0.0          0.0                0.0                 NaN
38                 0.0          0.0          0.0          0.0                0.0                 NaN
39                 0.0          0.0          0.0          0.0                0.0                 NaN
40                 0.0          0.0          0.0          0.0                0.0                 NaN
41                 0.0          0.0          0.0          0.0                0.0                 NaN
42                 0.0          0.0          0.0          0.0                0.0                 NaN

written /projects/disruptsc/runs/rhine2026/compare_runs_batch.csv
