== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_cal_base  2026_cal_nopool  2018_cal_nopool  2026_cal_seed1  2026_cal_seed2  2026_cal_seed3  2026_cal_seed4  2026_cal_seed5  2026_cal_seed6  2026_cal_seed7  2026_cal_seed8  2026_cal_seed9  2026_cal_seed10  2026_cal_deep20  2026_cal_fleet40  2026_cal_fleet20  2026_cal_stock7  2026_cal_stock7t  2026_cal_package  2026_cal_liq60
weeks                             39.000           31.000           42.000          31.000          31.000          31.000          31.000          31.000          31.000          31.000          31.000          31.000           31.000           31.000            31.000            31.000           31.000            31.000              31.0          31.000
EU_cum_mUSD                     6257.000        10144.000         4996.000        6008.000        6415.000        4097.000        6560.000        8020.000        6598.000        4075.000        4905.000        4535.000         6804.000         3452.000          4191.000           487.000         4127.000          8218.000               5.0        8268.000
EU_%quarter                        0.152            0.247            0.121           0.146           0.156           0.100           0.160           0.195           0.160           0.099           0.119           0.110            0.165            0.084             0.102             0.012            0.100             0.200               0.0           0.201
EU_peak_%week                      0.353            0.568            0.413           0.292           0.322           0.189           0.348           0.412           0.368           0.196           0.258           0.214            0.318            0.254             0.286             0.060            0.216             0.489               0.0           0.392
firms<99%_peak_%                   2.910            3.010            2.650           2.840           2.660           2.710           2.690           2.880           2.820           2.690           2.830           2.670            2.810            0.810             2.910             2.210            2.790             3.360               0.1           2.940
cons_loss_cum_mUSD              5420.000         8894.000         3801.000        3652.000        6105.000        3082.000        5383.000        5993.000        5435.000        3626.000        4575.000        3400.000         6125.000         2781.000          3638.000           420.000         3687.000          9092.000               0.0        7559.000
cons_loss_peak_%                   0.247            0.371            0.232           0.145           0.259           0.118           0.254           0.267           0.246           0.151           0.194           0.129            0.233            0.165             0.193             0.050            0.163             0.466               0.0           0.298
DEU_net_mUSD                    5002.000         7487.000         3868.000        4511.000        5452.000        2865.000        5666.000        7011.000        5804.000        3338.000        4094.000        2956.000         5910.000         2962.000          3045.000           177.000         2996.000          6491.000               1.0        6878.000
DEU_delay_mUSD                    49.500           62.100           32.300          36.800          44.500          13.700          31.100          48.400          45.400          38.400          35.000           8.900           31.100           18.200            22.500             3.400           23.400            62.500               0.0          54.600
DEU_net_deferrable_mUSD          710.000         1068.000          444.000         750.000         898.000         254.000         630.000         976.000         934.000         777.000         705.000         135.000          604.000          324.000           401.000            50.000          444.000          1357.000               0.0        1056.000
DEU_gross_perishable_mUSD       4292.000         6419.000         3424.000        3761.000        4553.000        2612.000        5036.000        6035.000        4870.000        2562.000        3389.000        2821.000         5305.000         2638.000          2644.000           127.000         2552.000          5133.000               0.0        5822.000
EU_net_mUSD                     5874.000         9077.000         4496.000        5710.000        6073.000        3913.000        6225.000        7647.000        6248.000        3800.000        4654.000        4297.000         6464.000         3251.000          3881.000           365.000         3764.000          7784.000               5.0        7738.000
EU_delay_mUSD                     89.500           93.100           39.500          59.800          61.000          50.500          51.100          66.000          60.100          54.900          53.100          40.400           45.100           22.600            52.200            10.300           51.000           105.900               0.0          84.300
EU_net_deferrable_mUSD          1210.000         1548.000          529.000        1145.000        1162.000        1006.000         967.000        1257.000        1163.000        1055.000        1029.000         740.000          824.000          382.000           914.000           170.000          902.000          2132.000               1.0        1533.000
EU_gross_perishable_mUSD        4664.000         7529.000         3967.000        4564.000        4912.000        2906.000        5258.000        6390.000        5085.000        2745.000        3625.000        3556.000         5640.000         2869.000          2967.000           195.000         2862.000          5652.000               4.0        6205.000
DEU_cum_mUSD                    5178.000         8226.000         4252.000        4675.000        5647.000        2988.000        5856.000        7230.000        6003.000        3500.000        4259.000        3080.000         6110.000         3080.000          3181.000           241.000         3158.000          6684.000               1.0        7184.000
DEU_%quarter                       0.542            0.861            0.445           0.489           0.591           0.313           0.613           0.757           0.628           0.366           0.446           0.322            0.640            0.322             0.333             0.025            0.331             0.700               0.0           0.752
DEU_peak_%week                     1.418            2.208            1.575           1.009           1.298           0.606           1.437           1.682           1.542           0.764           1.012           0.652            1.299            1.023             1.040             0.171            0.872             1.979               0.0           1.519
DEU_peak_week                     17.000           17.000           21.000          15.000          16.000          15.000          17.000          16.000          17.000          17.000          15.000          17.000           17.000           15.000            15.000            14.000           17.000            17.000              27.0          15.000
DEU_loss_weeks                    14.000           13.000            9.000          14.000          14.000          10.000          13.000          14.000          14.000          13.000          13.000          10.000           13.000           10.000            11.000             5.000           12.000            16.000               0.0          16.000

== other countries ==
run                        2026_cal_base  2026_cal_nopool  2018_cal_nopool  2026_cal_seed1  2026_cal_seed2  2026_cal_seed3  2026_cal_seed4  2026_cal_seed5  2026_cal_seed6  2026_cal_seed7  2026_cal_seed8  2026_cal_seed9  2026_cal_seed10  2026_cal_deep20  2026_cal_fleet40  2026_cal_fleet20  2026_cal_stock7  2026_cal_stock7t  2026_cal_package  2026_cal_liq60
NLD_net_mUSD                      86.000          118.000           79.000         169.000          71.000         203.000         133.000          82.000          58.000          79.000         114.000         181.000           60.000           63.000            92.000            44.000          102.000            76.000               0.0          78.000
NLD_delay_mUSD                     6.000            6.000            4.300           7.500           4.100           8.700           6.300           4.700           3.500           4.100           5.500           8.000            3.500            3.300             4.600             1.800            5.200             4.100               0.0           4.900
NLD_net_deferrable_mUSD           60.000           84.000           56.000         135.000          46.000         168.000         101.000          54.000          33.000          54.000          90.000         149.000           34.000           43.000            67.000            32.000           71.000            48.000               0.0          54.000
