run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2026_cal_base,39,6257.0,0.152,0.353,2.91,5420.0,0.247,5002.0,49.5,710.0,4292.0,86.0,6.0,60.0,25.0,15.0,0.9,12.0,2.0,529.0,19.8,255.0,274.0,4.0,0.3,4.0,0.0,16.0,0.7,5.0,12.0,5874.0,89.5,1210.0,4664.0,5178.0,0.542,1.418,17,14,168.0,0.072,0.147,9,12,17.0,0.015,0.034,9,8,607.0,0.093,0.207,9,11,4.0,0.002,0.004,8,0,33.0,0.024,0.057,9,9
2026_cal_nopool,31,10144.0,0.247,0.568,3.01,8894.0,0.371,7487.0,62.1,1068.0,6419.0,118.0,6.0,84.0,33.0,475.0,1.1,17.0,459.0,638.0,16.4,261.0,377.0,5.0,0.2,4.0,1.0,30.0,1.0,11.0,19.0,9077.0,93.1,1548.0,7529.0,8226.0,0.861,2.208,17,13,198.0,0.085,0.141,10,12,497.0,0.453,1.204,19,13,790.0,0.121,0.245,10,11,6.0,0.003,0.006,10,0,49.0,0.036,0.062,10,12
2018_cal_nopool,42,4996.0,0.121,0.413,2.65,3801.0,0.232,3868.0,32.3,444.0,3424.0,79.0,4.3,56.0,23.0,215.0,0.2,1.0,213.0,233.0,0.8,5.0,228.0,1.0,0.0,1.0,1.0,23.0,0.7,9.0,15.0,4496.0,39.5,529.0,3967.0,4252.0,0.445,1.575,21,9,125.0,0.054,0.118,16,8,220.0,0.201,0.622,21,8,266.0,0.041,0.131,16,6,2.0,0.001,0.003,16,0,35.0,0.026,0.055,21,8
2026_cal_seed1,31,6008.0,0.146,0.292,2.84,3652.0,0.145,4511.0,36.8,750.0,3761.0,169.0,7.5,135.0,34.0,13.0,0.6,11.0,2.0,766.0,4.4,63.0,703.0,4.0,0.2,4.0,0.0,11.0,0.3,0.0,11.0,5710.0,59.8,1145.0,4564.0,4675.0,0.489,1.009,15,14,207.0,0.089,0.16,9,12,18.0,0.016,0.034,8,7,813.0,0.125,0.261,15,10,4.0,0.002,0.004,8,0,28.0,0.02,0.053,9,8
2026_cal_seed2,31,6415.0,0.156,0.322,2.66,6105.0,0.259,5452.0,44.5,898.0,4553.0,71.0,4.1,46.0,25.0,17.0,0.8,15.0,2.0,268.0,0.8,11.0,257.0,4.0,0.2,4.0,0.0,13.0,0.4,1.0,12.0,6073.0,61.0,1162.0,4912.0,5647.0,0.591,1.298,16,14,157.0,0.067,0.142,9,11,20.0,0.018,0.035,8,9,282.0,0.043,0.091,9,8,5.0,0.002,0.004,9,0,32.0,0.023,0.057,9,9
2026_cal_seed3,31,4097.0,0.1,0.189,2.71,3082.0,0.118,2865.0,13.7,254.0,2612.0,203.0,8.7,168.0,35.0,19.0,0.9,16.0,3.0,543.0,16.2,361.0,182.0,4.0,0.2,4.0,0.0,41.0,1.3,23.0,19.0,3913.0,50.5,1006.0,2906.0,2988.0,0.313,0.606,15,10,220.0,0.094,0.157,9,13,22.0,0.02,0.038,9,9,560.0,0.086,0.19,15,15,4.0,0.002,0.004,8,0,47.0,0.035,0.063,9,12
2026_cal_seed4,31,6560.0,0.16,0.348,2.69,5383.0,0.254,5666.0,31.1,630.0,5036.0,133.0,6.3,101.0,32.0,8.0,0.3,5.0,3.0,204.0,4.4,73.0,132.0,4.0,0.2,4.0,0.0,18.0,0.6,4.0,14.0,6225.0,51.1,967.0,5258.0,5856.0,0.613,1.437,17,13,197.0,0.084,0.156,9,12,12.0,0.011,0.024,8,8,241.0,0.037,0.076,15,10,4.0,0.002,0.004,8,0,37.0,0.027,0.058,9,10
2026_cal_seed5,31,8020.0,0.195,0.412,2.88,5993.0,0.267,7011.0,48.4,976.0,6035.0,82.0,4.7,54.0,28.0,17.0,0.8,15.0,2.0,298.0,2.0,32.0,266.0,4.0,0.2,4.0,0.0,11.0,0.4,1.0,10.0,7647.0,66.0,1257.0,6390.0,7230.0,0.757,1.682,16,14,170.0,0.073,0.153,9,11,19.0,0.018,0.037,9,9,316.0,0.049,0.111,9,9,5.0,0.002,0.004,9,0,28.0,0.02,0.053,9,9
2026_cal_seed6,31,6598.0,0.16,0.368,2.82,5435.0,0.246,5804.0,45.4,934.0,4870.0,58.0,3.5,33.0,24.0,15.0,0.7,13.0,2.0,132.0,1.6,25.0,107.0,4.0,0.2,4.0,0.0,10.0,0.2,0.0,9.0,6248.0,60.1,1163.0,5085.0,6003.0,0.628,1.542,17,14,145.0,0.062,0.141,8,11,17.0,0.016,0.031,8,8,150.0,0.023,0.049,9,9,4.0,0.002,0.004,8,0,25.0,0.018,0.052,9,8
2026_cal_seed7,31,4075.0,0.099,0.196,2.69,3626.0,0.151,3338.0,38.4,777.0,2562.0,79.0,4.1,54.0,24.0,9.0,0.4,7.0,2.0,148.0,2.7,49.0,99.0,4.0,0.2,4.0,0.0,14.0,0.4,3.0,10.0,3800.0,54.9,1055.0,2745.0,3500.0,0.366,0.764,17,13,145.0,0.062,0.137,8,11,11.0,0.01,0.024,9,7,161.0,0.025,0.051,15,10,5.0,0.002,0.004,9,0,28.0,0.02,0.053,9,8
