run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_net_mUSD,DEU_delay_mUSD,DEU_net_deferrable_mUSD,DEU_gross_perishable_mUSD,NLD_net_mUSD,NLD_delay_mUSD,NLD_net_deferrable_mUSD,NLD_gross_perishable_mUSD,AUT_net_mUSD,AUT_delay_mUSD,AUT_net_deferrable_mUSD,AUT_gross_perishable_mUSD,FRA_net_mUSD,FRA_delay_mUSD,FRA_net_deferrable_mUSD,FRA_gross_perishable_mUSD,CHE_net_mUSD,CHE_delay_mUSD,CHE_net_deferrable_mUSD,CHE_gross_perishable_mUSD,BEL_net_mUSD,BEL_delay_mUSD,BEL_net_deferrable_mUSD,BEL_gross_perishable_mUSD,EU_net_mUSD,EU_delay_mUSD,EU_net_deferrable_mUSD,EU_gross_perishable_mUSD,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2018_cal_seed1,42,3575.0,0.087,0.257,2.52,1963.0,0.111,2803.0,25.9,417.0,2387.0,94.0,4.9,71.0,23.0,2.0,0.1,1.0,1.0,436.0,1.1,8.0,428.0,1.0,0.0,1.0,0.0,10.0,0.3,0.0,10.0,3392.0,34.5,526.0,2866.0,2901.0,0.304,0.925,21,10,124.0,0.053,0.135,16,8,4.0,0.004,0.029,16,2,464.0,0.071,0.23,21,6,1.0,0.001,0.003,16,0,24.0,0.018,0.048,16,7
2018_cal_seed2,42,3443.0,0.084,0.274,2.33,2919.0,0.187,2932.0,27.5,435.0,2497.0,49.0,2.8,28.0,21.0,3.0,0.2,2.0,1.0,175.0,0.2,2.0,174.0,1.0,0.0,1.0,0.0,13.0,0.3,1.0,12.0,3221.0,33.3,500.0,2721.0,3056.0,0.32,1.115,21,10,111.0,0.048,0.127,16,8,4.0,0.004,0.026,16,2,184.0,0.028,0.085,19,5,1.0,0.001,0.003,16,0,28.0,0.021,0.049,16,7
2018_cal_seed3,42,2374.0,0.058,0.155,2.49,1623.0,0.09,1735.0,6.5,90.0,1645.0,127.0,6.5,102.0,25.0,3.0,0.2,2.0,1.0,330.0,12.6,221.0,108.0,1.0,0.0,1.0,0.0,30.0,1.0,15.0,15.0,2273.0,29.0,462.0,1811.0,1799.0,0.188,0.547,19,7,141.0,0.06,0.133,16,9,4.0,0.004,0.027,16,2,339.0,0.052,0.159,21,10,1.0,0.0,0.003,16,0,35.0,0.026,0.052,20,8
2018_cal_seed4,42,3706.0,0.09,0.322,2.39,2784.0,0.202,3298.0,16.6,249.0,3049.0,76.0,4.1,53.0,23.0,1.0,0.1,1.0,1.0,83.0,0.6,6.0,76.0,1.0,0.0,1.0,0.0,16.0,0.4,3.0,13.0,3514.0,23.6,337.0,3177.0,3407.0,0.357,1.33,21,8,122.0,0.052,0.13,16,8,3.0,0.003,0.02,16,1,94.0,0.014,0.045,21,6,1.0,0.0,0.003,16,0,31.0,0.023,0.049,16,8
2018_cal_seed5,42,4858.0,0.118,0.368,2.6,3304.0,0.207,4332.0,35.0,559.0,3773.0,49.0,2.9,28.0,21.0,3.0,0.2,2.0,1.0,180.0,0.5,4.0,176.0,1.0,0.0,1.0,0.0,10.0,0.2,0.0,10.0,4619.0,40.8,621.0,3998.0,4467.0,0.468,1.514,21,10,112.0,0.048,0.132,16,8,4.0,0.003,0.025,16,2,193.0,0.03,0.097,19,5,1.0,0.001,0.003,16,0,25.0,0.018,0.048,16,7
2018_cal_seed6,42,3750.0,0.091,0.311,2.55,2823.0,0.183,3343.0,24.7,380.0,2963.0,42.0,2.4,22.0,20.0,2.0,0.1,2.0,1.0,77.0,0.4,4.0,72.0,1.0,0.0,1.0,0.0,10.0,0.2,0.0,10.0,3531.0,29.7,434.0,3096.0,3466.0,0.363,1.305,21,9,102.0,0.044,0.127,16,8,3.0,0.003,0.024,16,2,86.0,0.013,0.045,16,5,1.0,0.001,0.003,16,0,23.0,0.017,0.047,16,7
2018_cal_seed7,42,2312.0,0.056,0.163,2.45,1932.0,0.124,1951.0,26.7,428.0,1523.0,55.0,3.1,36.0,19.0,2.0,0.1,1.0,1.0,63.0,0.7,9.0,54.0,1.0,0.0,1.0,0.0,14.0,0.4,4.0,10.0,2128.0,32.9,505.0,1623.0,2063.0,0.216,0.662,21,10,99.0,0.042,0.125,16,8,3.0,0.002,0.018,16,1,70.0,0.011,0.039,21,6,1.0,0.0,0.003,16,0,25.0,0.018,0.049,16,7
2018_cal_seed8,42,2790.0,0.068,0.189,2.6,2485.0,0.158,2391.0,21.6,337.0,2054.0,69.0,3.9,52.0,17.0,3.0,0.1,2.0,1.0,111.0,0.8,11.0,100.0,1.0,0.0,1.0,0.0,7.0,0.1,0.0,7.0,2626.0,28.6,432.0,2195.0,2496.0,0.261,0.76,20,9,102.0,0.043,0.127,16,8,4.0,0.004,0.027,16,2,116.0,0.018,0.059,16,5,1.0,0.001,0.003,16,0,17.0,0.012,0.046,16,6
2018_cal_seed9,42,2735.0,0.067,0.19,2.46,1838.0,0.101,1806.0,3.7,40.0,1766.0,114.0,5.9,90.0,24.0,3.0,0.1,2.0,1.0,609.0,10.7,176.0,433.0,1.0,0.0,1.0,0.0,24.0,0.8,11.0,13.0,2594.0,22.9,342.0,2252.0,1873.0,0.196,0.608,21,7,133.0,0.057,0.127,16,9,4.0,0.004,0.027,16,2,646.0,0.099,0.323,20,11,1.0,0.0,0.003,16,0,31.0,0.023,0.05,16,8
2018_cal_seed10,42,3701.0,0.09,0.281,2.54,2790.0,0.162,3198.0,18.0,262.0,2936.0,42.0,2.5,22.0,20.0,3.0,0.2,2.0,1.0,182.0,0.7,9.0,173.0,1.0,0.0,1.0,0.0,10.0,0.2,1.0,9.0,3473.0,23.3,319.0,3154.0,3330.0,0.349,1.154,21,8,106.0,0.045,0.123,16,8,4.0,0.004,0.026,16,2,189.0,0.029,0.093,16,5,1.0,0.001,0.003,16,0,23.0,0.017,0.049,16,7
