== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
weeks                              42.000          42.000          42.000          42.000          42.000          42.000          42.000          42.000          42.000           42.000
EU_cum_mUSD                      3575.000        3443.000        2374.000        3706.000        4858.000        3750.000        2312.000        2790.000        2735.000         3701.000
EU_%quarter                         0.087           0.084           0.058           0.090           0.118           0.091           0.056           0.068           0.067            0.090
EU_peak_%week                       0.257           0.274           0.155           0.322           0.368           0.311           0.163           0.189           0.190            0.281
firms<99%_peak_%                    2.520           2.330           2.490           2.390           2.600           2.550           2.450           2.600           2.460            2.540
cons_loss_cum_mUSD               1963.000        2919.000        1623.000        2784.000        3304.000        2823.000        1932.000        2485.000        1838.000         2790.000
cons_loss_peak_%                    0.111           0.187           0.090           0.202           0.207           0.183           0.124           0.158           0.101            0.162
DEU_net_mUSD                     2803.000        2932.000        1735.000        3298.000        4332.000        3343.000        1951.000        2391.000        1806.000         3198.000
DEU_delay_mUSD                     25.900          27.500           6.500          16.600          35.000          24.700          26.700          21.600           3.700           18.000
DEU_net_deferrable_mUSD           417.000         435.000          90.000         249.000         559.000         380.000         428.000         337.000          40.000          262.000
DEU_gross_perishable_mUSD        2387.000        2497.000        1645.000        3049.000        3773.000        2963.000        1523.000        2054.000        1766.000         2936.000
EU_net_mUSD                      3392.000        3221.000        2273.000        3514.000        4619.000        3531.000        2128.000        2626.000        2594.000         3473.000
EU_delay_mUSD                      34.500          33.300          29.000          23.600          40.800          29.700          32.900          28.600          22.900           23.300
EU_net_deferrable_mUSD            526.000         500.000         462.000         337.000         621.000         434.000         505.000         432.000         342.000          319.000
EU_gross_perishable_mUSD         2866.000        2721.000        1811.000        3177.000        3998.000        3096.000        1623.000        2195.000        2252.000         3154.000
DEU_cum_mUSD                     2901.000        3056.000        1799.000        3407.000        4467.000        3466.000        2063.000        2496.000        1873.000         3330.000
DEU_%quarter                        0.304           0.320           0.188           0.357           0.468           0.363           0.216           0.261           0.196            0.349
DEU_peak_%week                      0.925           1.115           0.547           1.330           1.514           1.305           0.662           0.760           0.608            1.154
DEU_peak_week                      21.000          21.000          19.000          21.000          21.000          21.000          21.000          20.000          21.000           21.000
DEU_loss_weeks                     10.000          10.000           7.000           8.000          10.000           9.000          10.000           9.000           7.000            8.000

== other countries ==
run                        2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
NLD_net_mUSD                       94.000          49.000         127.000          76.000          49.000          42.000          55.000          69.000         114.000           42.000
NLD_delay_mUSD                      4.900           2.800           6.500           4.100           2.900           2.400           3.100           3.900           5.900            2.500
NLD_net_deferrable_mUSD            71.000          28.000         102.000          53.000          28.000          22.000          36.000          52.000          90.000           22.000
NLD_gross_perishable_mUSD          23.000          21.000          25.000          23.000          21.000          20.000          19.000          17.000          24.000           20.000
AUT_net_mUSD                        2.000           3.000           3.000           1.000           3.000           2.000           2.000           3.000           3.000            3.000
AUT_delay_mUSD                      0.100           0.200           0.200           0.100           0.200           0.100           0.100           0.100           0.100            0.200
AUT_net_deferrable_mUSD             1.000           2.000           2.000           1.000           2.000           2.000           1.000           2.000           2.000            2.000
AUT_gross_perishable_mUSD           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000            1.000
FRA_net_mUSD                      436.000         175.000         330.000          83.000         180.000          77.000          63.000         111.000         609.000          182.000
FRA_delay_mUSD                      1.100           0.200          12.600           0.600           0.500           0.400           0.700           0.800          10.700            0.700
FRA_net_deferrable_mUSD             8.000           2.000         221.000           6.000           4.000           4.000           9.000          11.000         176.000            9.000
FRA_gross_perishable_mUSD         428.000         174.000         108.000          76.000         176.000          72.000          54.000         100.000         433.000          173.000
CHE_net_mUSD                        1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000            1.000
CHE_delay_mUSD                      0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000
CHE_net_deferrable_mUSD             1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000            1.000
CHE_gross_perishable_mUSD           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000
BEL_net_mUSD                       10.000          13.000          30.000          16.000          10.000          10.000          14.000           7.000          24.000           10.000
BEL_delay_mUSD                      0.300           0.300           1.000           0.400           0.200           0.200           0.400           0.100           0.800            0.200
BEL_net_deferrable_mUSD             0.000           1.000          15.000           3.000           0.000           0.000           4.000           0.000          11.000            1.000
BEL_gross_perishable_mUSD          10.000          12.000          15.000          13.000          10.000          10.000          10.000           7.000          13.000            9.000
NLD_cum_mUSD                      124.000         111.000         141.000         122.000         112.000         102.000          99.000         102.000         133.000          106.000
NLD_%quarter                        0.053           0.048           0.060           0.052           0.048           0.044           0.042           0.043           0.057            0.045
NLD_peak_%week                      0.135           0.127           0.133           0.130           0.132           0.127           0.125           0.127           0.127            0.123
NLD_peak_week                      16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
NLD_loss_weeks                      8.000           8.000           9.000           8.000           8.000           8.000           8.000           8.000           9.000            8.000
AUT_cum_mUSD                        4.000           4.000           4.000           3.000           4.000           3.000           3.000           4.000           4.000            4.000
AUT_%quarter                        0.004           0.004           0.004           0.003           0.003           0.003           0.002           0.004           0.004            0.004
AUT_peak_%week                      0.029           0.026           0.027           0.020           0.025           0.024           0.018           0.027           0.027            0.026
AUT_peak_week                      16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
AUT_loss_weeks                      2.000           2.000           2.000           1.000           2.000           2.000           1.000           2.000           2.000            2.000
FRA_cum_mUSD                      464.000         184.000         339.000          94.000         193.000          86.000          70.000         116.000         646.000          189.000
FRA_%quarter                        0.071           0.028           0.052           0.014           0.030           0.013           0.011           0.018           0.099            0.029
FRA_peak_%week                      0.230           0.085           0.159           0.045           0.097           0.045           0.039           0.059           0.323            0.093
FRA_peak_week                      21.000          19.000          21.000          21.000          19.000          16.000          21.000          16.000          20.000           16.000
FRA_loss_weeks                      6.000           5.000          10.000           6.000           5.000           5.000           6.000           5.000          11.000            5.000
CHE_cum_mUSD                        1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000           1.000            1.000
CHE_%quarter                        0.001           0.001           0.000           0.000           0.001           0.001           0.000           0.001           0.000            0.001
CHE_peak_%week                      0.003           0.003           0.003           0.003           0.003           0.003           0.003           0.003           0.003            0.003
CHE_peak_week                      16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
CHE_loss_weeks                      0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000            0.000
BEL_cum_mUSD                       24.000          28.000          35.000          31.000          25.000          23.000          25.000          17.000          31.000           23.000
BEL_%quarter                        0.018           0.021           0.026           0.023           0.018           0.017           0.018           0.012           0.023            0.017
BEL_peak_%week                      0.048           0.049           0.052           0.049           0.048           0.047           0.049           0.046           0.050            0.049
BEL_peak_week                      16.000          16.000          20.000          16.000          16.000          16.000          16.000          16.000          16.000           16.000
BEL_loss_weeks                      7.000           7.000           8.000           8.000           7.000           7.000           7.000           6.000           8.000            7.000

== weekly value-added loss of DEU (mUSD/week) ==
           2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
time_step                                                                                                                                                                 
0                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
1                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
2                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
3                     0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
