== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_pipe_base  2026_gs_base  2018_pipe   2018_gs
weeks                              39.000        39.000     42.000    42.000
EU_cum_mUSD                      6216.000      5817.000   3473.000  4852.000
EU_%quarter                         0.151         0.141      0.084     0.118
EU_peak_%week                       0.351         0.280      0.297     0.181
firms<99%_peak_%                    2.870         2.620      2.560     2.490
cons_loss_cum_mUSD               5392.000      6065.000   2701.000  4847.000
cons_loss_peak_%                    0.245         0.224      0.182     0.160
DEU_net_mUSD                     4964.000      4417.000   2948.000  3523.000
DEU_delay_mUSD                     49.600        50.200     21.700    38.100
DEU_net_deferrable_mUSD           710.000       664.000    336.000   514.000
DEU_gross_perishable_mUSD        4254.000      3753.000   2612.000  3009.000
EU_net_mUSD                      5835.000      5590.000   3252.000  4603.000
EU_delay_mUSD                      89.400       109.300     28.700    93.000
EU_net_deferrable_mUSD           1209.000      1481.000    417.000  1249.000
EU_gross_perishable_mUSD         4626.000      4109.000   2834.000  3355.000
DEU_cum_mUSD                     5140.000      4570.000   3062.000  3664.000
DEU_%quarter                        0.538         0.478      0.321     0.384
DEU_peak_%week                      1.409         1.072      1.219     0.676
DEU_peak_week                      17.000        15.000     21.000    21.000
DEU_loss_weeks                     14.000        18.000      9.000    20.000

== other countries ==
run                        2026_pipe_base  2026_gs_base  2018_pipe  2018_gs
NLD_net_mUSD                       85.000       176.000     57.000  185.000
NLD_delay_mUSD                      6.000        11.100      3.200   12.000
NLD_net_deferrable_mUSD            60.000       150.000     36.000  152.000
NLD_gross_perishable_mUSD          25.000        27.000     21.000   33.000
AUT_net_mUSD                       15.000        22.000      2.000   20.000
AUT_delay_mUSD                      0.900         1.400      0.100    1.300
AUT_net_deferrable_mUSD            12.000        20.000      2.000   19.000
AUT_gross_perishable_mUSD           2.000         1.000      1.000    1.000
FRA_net_mUSD                      529.000       597.000    176.000  509.000
FRA_delay_mUSD                     19.800        25.800      1.200   20.700
FRA_net_deferrable_mUSD           255.000       342.000     12.000  274.000
FRA_gross_perishable_mUSD         274.000       255.000    164.000  235.000
CHE_net_mUSD                        4.000         5.000      1.000    5.000
CHE_delay_mUSD                      0.300         0.300      0.000    0.300
CHE_net_deferrable_mUSD             4.000         5.000      1.000    5.000
CHE_gross_perishable_mUSD           0.000         0.000      0.000    0.000
BEL_net_mUSD                       16.000        31.000     14.000   35.000
BEL_delay_mUSD                      0.700         1.500      0.400    1.700
BEL_net_deferrable_mUSD             5.000        19.000      3.000   20.000
BEL_gross_perishable_mUSD          12.000        12.000     11.000   15.000
NLD_cum_mUSD                      167.000       188.000    114.000  212.000
NLD_%quarter                        0.071         0.080      0.049    0.091
NLD_peak_%week                      0.147         0.110      0.127    0.084
NLD_peak_week                       9.000         9.000     16.000   16.000
