== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_cal_base  2026_pipe_base  2018_inv200  2018_pipe
weeks                             39.000          39.000       42.000     42.000
EU_cum_mUSD                     6257.000        6216.000     3498.000   3473.000
EU_%quarter                        0.152           0.151        0.085      0.084
EU_peak_%week                      0.353           0.351        0.305      0.297
firms<99%_peak_%                   2.910           2.870        2.610      2.560
cons_loss_cum_mUSD              5420.000        5392.000     2716.000   2701.000
cons_loss_peak_%                   0.247           0.245        0.187      0.182
DEU_net_mUSD                    5002.000        4964.000     2973.000   2948.000
DEU_delay_mUSD                    49.500          49.600       21.700     21.700
DEU_net_deferrable_mUSD          710.000         710.000      336.000    336.000
DEU_gross_perishable_mUSD       4292.000        4254.000     2637.000   2612.000
EU_net_mUSD                     5874.000        5835.000     3277.000   3252.000
EU_delay_mUSD                     89.500          89.400       28.700     28.700
EU_net_deferrable_mUSD          1210.000        1209.000      417.000    417.000
EU_gross_perishable_mUSD        4664.000        4626.000     2859.000   2834.000
DEU_cum_mUSD                    5178.000        5140.000     3087.000   3062.000
DEU_%quarter                       0.542           0.538        0.323      0.321
DEU_peak_%week                     1.418           1.409        1.253      1.219
DEU_peak_week                     17.000          17.000       21.000     21.000
DEU_loss_weeks                    14.000          14.000        9.000      9.000

== other countries ==
run                        2026_cal_base  2026_pipe_base  2018_inv200  2018_pipe
NLD_net_mUSD                      86.000          85.000       57.000     57.000
NLD_delay_mUSD                     6.000           6.000        3.200      3.200
NLD_net_deferrable_mUSD           60.000          60.000       36.000     36.000
NLD_gross_perishable_mUSD         25.000          25.000       21.000     21.000
AUT_net_mUSD                      15.000          15.000        2.000      2.000
AUT_delay_mUSD                     0.900           0.900        0.100      0.100
AUT_net_deferrable_mUSD           12.000          12.000        2.000      2.000
AUT_gross_perishable_mUSD          2.000           2.000        1.000      1.000
FRA_net_mUSD                     529.000         529.000      176.000    176.000
FRA_delay_mUSD                    19.800          19.800        1.200      1.200
FRA_net_deferrable_mUSD          255.000         255.000       12.000     12.000
FRA_gross_perishable_mUSD        274.000         274.000      164.000    164.000
CHE_net_mUSD                       4.000           4.000        1.000      1.000
CHE_delay_mUSD                     0.300           0.300        0.000      0.000
CHE_net_deferrable_mUSD            4.000           4.000        1.000      1.000
CHE_gross_perishable_mUSD          0.000           0.000        0.000      0.000
BEL_net_mUSD                      16.000          16.000       14.000     14.000
BEL_delay_mUSD                     0.700           0.700        0.400      0.400
BEL_net_deferrable_mUSD            5.000           5.000        3.000      3.000
BEL_gross_perishable_mUSD         12.000          12.000       11.000     11.000
NLD_cum_mUSD                     168.000         167.000      114.000    114.000
NLD_%quarter                       0.072           0.071        0.049      0.049
NLD_peak_%week                     0.147           0.147        0.127      0.127
NLD_peak_week                      9.000           9.000       16.000     16.000
NLD_loss_weeks                    12.000          12.000        8.000      8.000
AUT_cum_mUSD                      17.000          17.000        3.000      3.000
AUT_%quarter                       0.015           0.015        0.003      0.003
AUT_peak_%week                     0.034           0.033        0.023      0.022
AUT_peak_week                      9.000           9.000       16.000     16.000
AUT_loss_weeks                     8.000           8.000        2.000      2.000
FRA_cum_mUSD                     607.000         607.000      203.000    203.000
FRA_%quarter                       0.093           0.093        0.031      0.031
FRA_peak_%week                     0.207           0.207        0.116      0.115
FRA_peak_week                      9.000           9.000       16.000     16.000
FRA_loss_weeks                    11.000          11.000        6.000      6.000
CHE_cum_mUSD                       4.000           4.000        1.000      1.000
CHE_%quarter                       0.002           0.002        0.001      0.001
CHE_peak_%week                     0.004           0.004        0.003      0.003
CHE_peak_week                      8.000           8.000       16.000     16.000
CHE_loss_weeks                     0.000           0.000        0.000      0.000
BEL_cum_mUSD                      33.000          33.000       26.000     26.000
BEL_%quarter                       0.024           0.024        0.019      0.019
BEL_peak_%week                     0.057           0.057        0.049      0.049
BEL_peak_week                      9.000           9.000       16.000     16.000
BEL_loss_weeks                     9.000           9.000        7.000      7.000

== weekly value-added loss of DEU (mUSD/week) ==
           2026_cal_base  2026_pipe_base  2018_inv200  2018_pipe
time_step                                                       
0                    0.0             0.0          0.0        0.0
1                    0.0             0.0          0.0        0.0
2                    0.0             0.0          0.0        0.0
3                    0.0             0.0          0.0        0.0
4                    0.0             0.0          0.0        0.0
5                    0.0             0.0          0.0        0.0
6                    0.0             0.0          0.0        0.0
7                   38.6            38.5          0.0        0.0
8                  295.8           295.8          0.0        0.0
9                  402.9           402.9          0.0        0.0
10                 437.2           437.2          0.0        0.0
11                 107.3           107.4          0.0        0.0
12                   8.7             8.7          0.0        0.0
13                  76.3            76.2          0.0        0.0
14                 427.5           427.5          0.0        0.0
15                 764.1           739.2         27.3       27.3
16                1037.8          1031.4        292.8      292.7
17                1041.9          1035.0         33.9       33.9
18                 511.3           511.3        252.7      252.8
19                  13.8            13.8        444.0      444.0
20                  12.0            12.0        504.2      504.2
21                   2.7             2.7        921.0      896.0
22                   0.0             0.0        592.2      592.2
23                   0.0             0.0         12.0       12.0
24                   0.0             0.0          5.8        5.8
25                   0.0             0.0          1.1        1.1
26                   0.0             0.0          0.0        0.0
27                   0.0             0.0          0.0        0.0
28                   0.0             0.0          0.0        0.0
29                   0.0             0.0          0.0        0.0
30                   0.0             0.0          0.0        0.0
31                   0.0             0.0          0.0        0.0
32                   0.0             0.0          0.0        0.0
33                   0.0             0.0          0.0        0.0
34                   0.0             0.0          0.0        0.0
35                   0.0             0.0          0.0        0.0
36                   0.0             0.0          0.0        0.0
37                   0.0             0.0          0.0        0.0
38                   0.0             0.0          0.0        0.0
39                   0.0             0.0          0.0        0.0
40                   NaN             NaN          0.0        0.0
41                   NaN             NaN          0.0        0.0
42                   NaN             NaN          0.0        0.0

written studies/rhine2026/additional_data/compare_runs_pipe_20260922.csv
