run,weeks,EU_cum_mUSD,EU_%quarter,EU_peak_%week,firms<99%_peak_%,cons_loss_cum_mUSD,cons_loss_peak_%,DEU_cum_mUSD,DEU_%quarter,DEU_peak_%week,DEU_peak_week,DEU_loss_weeks,NLD_cum_mUSD,NLD_%quarter,NLD_peak_%week,NLD_peak_week,NLD_loss_weeks,AUT_cum_mUSD,AUT_%quarter,AUT_peak_%week,AUT_peak_week,AUT_loss_weeks,FRA_cum_mUSD,FRA_%quarter,FRA_peak_%week,FRA_peak_week,FRA_loss_weeks,CHE_cum_mUSD,CHE_%quarter,CHE_peak_%week,CHE_peak_week,CHE_loss_weeks,BEL_cum_mUSD,BEL_%quarter,BEL_peak_%week,BEL_peak_week,BEL_loss_weeks
2026_seed42_base,23,1177.0,0.029,0.118,2.61,952.0,0.078,733.0,0.077,0.329,10,5,143.0,0.061,0.204,10,5,180.0,0.164,0.708,10,4,29.0,0.004,0.017,10,3,3.0,0.001,0.004,10,0,7.0,0.005,0.02,10,3
2026_seed42_obs_singlefloor,23,1678.0,0.041,0.133,2.77,1490.0,0.08,1065.0,0.111,0.374,10,7,188.0,0.08,0.22,10,7,239.0,0.218,0.708,9,5,57.0,0.009,0.039,10,5,3.0,0.002,0.005,10,0,9.0,0.007,0.023,10,4
2026_seed42_floors,23,1889.0,0.046,0.133,2.77,1734.0,0.08,1198.0,0.125,0.374,10,8,234.0,0.1,0.22,10,9,263.0,0.24,0.708,9,6,57.0,0.009,0.039,10,5,3.0,0.002,0.005,10,0,11.0,0.008,0.023,10,4
2026_seed42_floors_m10,23,1486.0,0.036,0.118,2.44,1417.0,0.078,1034.0,0.108,0.365,10,6,153.0,0.066,0.196,9,7,231.0,0.211,0.699,9,4,12.0,0.002,0.012,9,1,1.0,0.0,0.003,9,0,9.0,0.006,0.021,10,4
2026_seed42_floors_p10,23,4111.0,0.1,0.161,2.82,4920.0,0.178,3000.0,0.314,0.566,14,12,320.0,0.137,0.245,7,12,458.0,0.418,0.7,8,11,83.0,0.013,0.052,10,7,3.0,0.002,0.004,10,0,16.0,0.012,0.022,10,8
2026_seed42_floors_liq40,23,1678.0,0.041,0.133,2.77,1490.0,0.08,1065.0,0.111,0.374,10,7,188.0,0.08,0.22,10,7,239.0,0.218,0.708,9,5,57.0,0.009,0.039,10,5,3.0,0.002,0.005,10,0,9.0,0.007,0.023,10,4
2018_seed42_base,29,421.0,0.01,0.095,2.12,328.0,0.042,246.0,0.026,0.268,15,3,66.0,0.028,0.125,15,3,60.0,0.055,0.696,15,2,11.0,0.002,0.011,15,1,1.0,0.0,0.003,15,0,2.0,0.002,0.008,15,0
2018_seed42_floors,30,2742.0,0.067,0.166,2.37,3167.0,0.172,2032.0,0.213,0.582,21,10,219.0,0.093,0.195,18,9,340.0,0.31,0.698,16,8,26.0,0.004,0.019,21,3,1.0,0.0,0.003,16,0,12.0,0.009,0.019,21,7
2018_seed42_floors_m10,30,1226.0,0.03,0.098,0.56,1088.0,0.068,848.0,0.089,0.309,21,6,143.0,0.061,0.135,16,8,211.0,0.193,0.679,16,4,1.0,0.0,0.001,17,0,0.0,0.0,0.0,18,0,8.0,0.006,0.015,16,3
2018_seed42_floors_p10,30,5389.0,0.131,0.227,2.81,7130.0,0.352,3970.0,0.416,0.743,21,12,305.0,0.13,0.211,21,11,699.0,0.637,1.629,24,12,82.0,0.013,0.041,21,7,3.0,0.001,0.004,16,0,17.0,0.013,0.022,18,8
2018_seed42_floors_liq40,30,1301.0,0.032,0.11,2.37,1130.0,0.073,872.0,0.091,0.317,16,7,155.0,0.066,0.184,16,8,214.0,0.195,0.698,16,5,11.0,0.002,0.012,16,1,1.0,0.0,0.003,16,0,8.0,0.006,0.015,16,3
