week_start,kaub_cm,source
2018-07-23,95,reconstructed weekly mean; anchors: Kaub < 78 cm from ~30 Jul (Aug 30 days below)
2018-07-30,80,reconstructed
2018-08-06,65,reconstructed
2018-08-13,55,reconstructed
2018-08-20,50,reconstructed
2018-08-27,55,reconstructed
2018-09-03,60,reconstructed (Sep ~15 days below 78 cm)
2018-09-10,70,reconstructed
2018-09-17,85,reconstructed (brief mid-September rise)
2018-09-24,75,reconstructed
2018-10-01,60,reconstructed (Oct 30 days below)
2018-10-08,50,reconstructed
2018-10-15,38,anchor: 42 cm on 16 Oct 2018 (BfG)
2018-10-22,28,anchor: record 25 cm on 22 Oct 2018
2018-10-29,33,reconstructed (24-31 Oct near record)
2018-11-05,40,reconstructed (Nov 30 days below)
2018-11-12,45,reconstructed
2018-11-19,35,anchor: second trough 21 Nov-3 Dec 2018
2018-11-26,40,reconstructed
2018-12-03,60,reconstructed (Dec 3 days below; rise from ~5 Dec)
2018-12-10,110,reconstructed (recovery)
