week_start,kaub_cm,status,note
2026-06-22,91.6,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 81, max 106; previous value 91.6 (observed)"
2026-06-29,101.0,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 80, max 121; previous value 101.0 (observed)"
2026-07-06,80.5,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 58, max 108; previous value 80.5 (observed)"
2026-07-13,54.9,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 42, max 78; previous value 54.9 (observed)"
2026-07-20,60.4,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 38, max 84; previous value 60.4 (observed)"
2026-07-27,29.3,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 27, max 34; previous value 29.3 (observed)"
2026-08-03,23.4,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 20, max 27; previous value 23.4 (observed)"
2026-08-10,11.0,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 7, max 16; previous value 11.0 (observed)"
2026-08-17,27.6,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 6, max 45; previous value 27.6 (observed)"
2026-08-24,67.0,observed,"PEGELONLINE daily means (raw 15-min data, DL-DE->Zero-2.0), weekly mean; daily min 60, max 72; previous value 67.0 (observed)"
