date,kaub_cm,source
2018-07-01,142,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-02,132,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-03,128,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-04,128,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-05,136,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-06,145,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-07,163,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-08,168,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-09,165,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-10,149,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-11,139,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-12,133,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-13,127,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-14,116,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-15,107,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-16,105,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-17,106,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-18,106,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-19,106,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-20,105,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-21,101,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-22,103,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-23,116,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-24,117,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-25,109,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-26,101,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-27,95,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-28,89,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-29,89,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-30,84,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-07-31,82,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-01,77,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-02,76,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-03,76,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-04,76,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-05,77,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-06,72,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-07,70,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-08,65,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-09,68,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-10,70,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-11,79,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-12,78,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-13,72,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-14,72,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-15,73,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-16,73,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-17,71,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-18,71,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-19,65,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-20,68,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
