date,dgj_daily_cm,po_mean_cm,po_min_cm,po_max_cm,po_n,po_0500_cm,po_mean_mez_cm
2017-11-01,135.0,,,,,,
2017-11-02,137.0,,,,,,
2017-11-03,130.0,,,,,,
2017-11-04,124.0,,,,,,
2017-11-05,125.0,,,,,,
2017-11-06,128.0,,,,,,
2017-11-07,138.0,,,,,,
2017-11-08,151.0,,,,,,
2017-11-09,157.0,,,,,,
2017-11-10,156.0,,,,,,
2017-11-11,156.0,,,,,,
2017-11-12,161.0,,,,,,
2017-11-13,217.0,,,,,,
2017-11-14,344.0,,,,,,
2017-11-15,384.0,,,,,,
2017-11-16,344.0,,,,,,
2017-11-17,286.0,,,,,,
2017-11-18,254.0,,,,,,
2017-11-19,230.0,,,,,,
2017-11-20,216.0,,,,,,
2017-11-21,208.0,,,,,,
2017-11-22,209.0,,,,,,
2017-11-23,215.0,,,,,,
2017-11-24,215.0,,,,,,
2017-11-25,212.0,,,,,,
2017-11-26,236.0,,,,,,
2017-11-27,291.0,,,,,,
2017-11-28,307.0,,,,,,
2017-11-29,315.0,,,,,,
2017-11-30,310.0,,,,,,
2017-12-01,305.0,,,,,,
2017-12-02,290.0,,,,,,
2017-12-03,265.0,,,,,,
2017-12-04,238.0,,,,,,
2017-12-05,219.0,,,,,,
2017-12-06,210.0,,,,,,
2017-12-07,206.0,,,,,,
2017-12-08,207.0,,,,,,
2017-12-09,208.0,,,,,,
2017-12-10,214.0,,,,,,
2017-12-11,229.0,,,,,,
2017-12-12,305.0,,,,,,
2017-12-13,375.0,,,,,,
2017-12-14,403.0,,,,,,
2017-12-15,419.0,,,,,,
2017-12-16,428.0,,,,,,
2017-12-17,445.0,,,,,,
2017-12-18,443.0,,,,,,
2017-12-19,404.0,,,,,,
2017-12-20,361.0,,,,,,
2017-12-21,334.0,,,,,,
2017-12-22,315.0,,,,,,
2017-12-23,309.0,,,,,,
2017-12-24,313.0,,,,,,
2017-12-25,313.0,,,,,,
2017-12-26,299.0,,,,,,
2017-12-27,283.0,,,,,,
2017-12-28,280.0,,,,,,
2017-12-29,275.0,,,,,,
2017-12-30,268.0,,,,,,
2017-12-31,286.0,,,,,,
2018-01-01,350.0,,,,,,
2018-01-02,396.0,,,,,,
2018-01-03,411.0,,,,,,
2018-01-04,455.0,,,,,,
2018-01-05,505.0,,,,,,
2018-01-06,588.0,,,,,,
2018-01-07,660.0,,,,,,
2018-01-08,672.0,,,,,,
2018-01-09,641.0,,,,,,
2018-01-10,583.0,,,,,,
2018-01-11,513.0,,,,,,
2018-01-12,457.0,,,,,,
2018-01-13,416.0,,,,,,
2018-01-14,382.0,,,,,,
2018-01-15,352.0,,,,,,
2018-01-16,332.0,,,,,,
2018-01-17,338.0,,,,,,
2018-01-18,369.0,,,,,,
2018-01-19,412.0,,,,,,
2018-01-20,456.0,,,,,,
2018-01-21,498.0,,,,,,
2018-01-22,524.0,,,,,,
2018-01-23,533.0,,,,,,
2018-01-24,574.0,,,,,,
2018-01-25,616.0,,,,,,
2018-01-26,635.0,,,,,,
2018-01-27,615.0,,,,,,
2018-01-28,567.0,,,,,,
2018-01-29,521.0,,,,,,
2018-01-30,478.0,,,,,,
2018-01-31,442.0,,,,,,
2018-02-01,428.0,,,,,,
2018-02-02,436.0,,,,,,
2018-02-03,440.0,,,,,,
2018-02-04,433.0,,,,,,
2018-02-05,411.0,,,,,,
2018-02-06,382.0,,,,,,
2018-02-07,357.0,,,,,,
2018-02-08,331.0,,,,,,
2018-02-09,310.0,,,,,,
2018-02-10,296.0,,,,,,
2018-02-11,287.0,,,,,,
2018-02-12,276.0,,,,,,
2018-02-13,262.0,,,,,,
2018-02-14,252.0,,,,,,
2018-02-15,241.0,,,,,,
2018-02-16,236.0,,,,,,
2018-02-17,242.0,,,,,,
2018-02-18,281.0,,,,,,
2018-02-19,320.0,,,,,,
2018-02-20,338.0,,,,,,
2018-02-21,335.0,,,,,,
2018-02-22,316.0,,,,,,
2018-02-23,298.0,,,,,,
2018-02-24,275.0,,,,,,
2018-02-25,254.0,,,,,,
2018-02-26,232.0,,,,,,
2018-02-27,215.0,,,,,,
2018-02-28,207.0,,,,,,
2018-03-01,200.0,,,,,,
2018-03-02,192.0,,,,,,
2018-03-03,188.0,,,,,,
