name,mt_per_year,tons_per_day,basis
rhine_basel,5.5,15000,"Swiss Rhine ports ~5-6 Mt/yr (Port of Switzerland; CCNR); Basel-Rheinhalle cross-section"
rhine_basel_strasbourg,10,27400,"between Basel and Strasbourg/Kehl: Swiss traffic + Mulhouse/Ottmarsheim; ESTIMATE"
rhine_strasbourg,16,43800,"Iffezheim cross-section 16.0 Mt (2023) / 19.1 Mt (2021) - CCNR market observation ch. 2"
rhine_strasbourg_karlsruhe,16,43800,"Iffezheim cross-section (same)"
rhine_karlsruhe,22,60300,"Iffezheim + Karlsruhe port (~6 Mt, MiRO refinery); ESTIMATE"
rhine_karlsruhe_mannheim,24,65800,"+ Speyer/Germersheim; ESTIMATE"
rhine_mannheim,36,98600,"+ Mannheim/Ludwigshafen ports (~13 Mt) + Neckar (~5 Mt); ESTIMATE"
rhine_mannheim_mainz,40,109600,"+ Worms; ESTIMATE"
rhine_mainz,50,137000,"+ Mainz/Wiesbaden + Main (Frankfurt, Main-Danube canal ~8-10 Mt); ESTIMATE of the traffic passing Kaub"
rhine_mainz_koblenz,50,137000,"KAUB SECTION (Rhine-km 498-592): ~50 Mt/yr passing Kaub = Traditional Rhine 146 Mt (2023) minus Lower/Middle Rhine ports below Koblenz; ESTIMATE +/-10 Mt (KBN's '400 kt/week normal' is Dutch-flag only)"
rhine_koblenz,55,150700,"+ Moselle (~10 Mt at Koblenz); ESTIMATE"
rhine_koblenz_bonn,60,164400,"ESTIMATE"
rhine_bonn,65,178100,"ESTIMATE"
rhine_bonn_koeln,70,191800,"ESTIMATE"
rhine_koeln,80,219200,"+ Cologne ports/Godorf-Wesseling refineries (~10 Mt); ESTIMATE"
rhine_koeln_duesseldorf,88,241100,"ESTIMATE"
rhine_duesseldorf,92,252100,"+ Neuss/Duesseldorf ports (~8 Mt); ESTIMATE"
rhine_duesseldorf_duisburg,95,260300,"ESTIMATE"
rhine_duisburg,110,301400,"Duisburg ports ~45 Mt (ore/coal); traffic above Duisburg ~100 Mt; ESTIMATE"
rhine_duisburg_wesel,115,315100,"ESTIMATE"
rhine_wesel,117,320500,"ESTIMATE"
rhine_wesel_emmerich,118,323300,"Emmerich cross-section 117.9 Mt (2023) / 134.5 Mt (2021) - CCNR market observation ch. 2"
rhine_emmerich,118,323300,"Emmerich cross-section (same)"
rhine_emmerich_nijmegen,118,323300,"Waal below Lobith: Emmerich cross-section (Pannerdensch Kanaal branch small)"
rhine_nijmegen,120,328800,"Waal: + Nijmegen; ESTIMATE"
rhine_nijmegen_tiel,122,334200,"ESTIMATE"
rhine_tiel,125,342500,"ESTIMATE"
rhine_tiel_dordrecht,130,356200,"Waal/Merwede incl. Maas junction traffic; ESTIMATE (Rhine delta total 227 Mt spans several branches)"
rhine_dordrecht,135,369900,"ESTIMATE"
rhine_dordrecht_rotterdam,140,383600,"Nieuwe Merwede/Noord towards Rotterdam; ESTIMATE"
