name,mt_per_year,tons_per_day,basis
rhine_basel,5.5,15000,"file value (modelled baseline 8,565 t/day)"
rhine_basel_strasbourg,10.0,27400,"file value (modelled baseline 8,565 t/day)"
rhine_strasbourg,16.0,43800,"file value (modelled baseline 28,471 t/day)"
rhine_strasbourg_karlsruhe,16.0,43800,"file value (modelled baseline 28,471 t/day)"
rhine_karlsruhe,22.0,60300,"file value (modelled baseline 50,346 t/day)"
rhine_karlsruhe_mannheim,24.0,65800,"file value (modelled baseline 50,346 t/day)"
rhine_mannheim,36.3,99400,"anchored to the modelled baseline (97,354 t/day in smoke_pipeline, headroom 2%, file 98,600)"
rhine_mannheim_mainz,40.0,109600,"file value (modelled baseline 97,374 t/day)"
rhine_mainz,54.9,150500,"anchored to the modelled baseline (147,522 t/day in smoke_pipeline, headroom 2%, file 137,000)"
rhine_mainz_koblenz,54.9,150500,"anchored to the modelled baseline (147,526 t/day in smoke_pipeline, headroom 2%, file 137,000)"
rhine_koblenz,58.6,160500,"anchored to the modelled baseline (157,281 t/day in smoke_pipeline, headroom 2%, file 150,700)"
rhine_koblenz_bonn,60.0,164400,"file value (modelled baseline 157,417 t/day)"
rhine_bonn,65.0,178100,"file value (modelled baseline 157,419 t/day)"
rhine_bonn_koeln,70.0,191800,"file value (modelled baseline 155,729 t/day)"
rhine_koeln,80.0,219200,"file value (modelled baseline 159,539 t/day)"
rhine_koeln_duesseldorf,88.0,241100,"file value (modelled baseline 171,405 t/day)"
rhine_duesseldorf,92.0,252100,"file value (modelled baseline 171,405 t/day)"
rhine_duesseldorf_duisburg,95.0,260300,"file value (modelled baseline 171,405 t/day)"
rhine_duisburg,110.0,301400,"file value (modelled baseline 219,416 t/day)"
rhine_duisburg_wesel,115.0,315100,"file value (modelled baseline 230,206 t/day)"
rhine_wesel,117.0,320500,"file value (modelled baseline 234,755 t/day)"
rhine_wesel_emmerich,118.0,323300,"file value (modelled baseline 238,006 t/day)"
rhine_emmerich,118.0,323300,"file value (modelled baseline 238,164 t/day)"
rhine_emmerich_nijmegen,118.0,323300,"file value (modelled baseline 236,634 t/day)"
rhine_nijmegen,120.0,328800,"file value (modelled baseline 236,634 t/day)"
rhine_nijmegen_tiel,122.0,334200,"file value (modelled baseline 236,257 t/day)"
rhine_tiel,125.0,342500,"file value (modelled baseline 33,368 t/day)"
rhine_tiel_dordrecht,130.0,356200,"file value (modelled baseline 36,323 t/day)"
rhine_dordrecht,135.0,369900,"file value (modelled baseline 52,997 t/day)"
rhine_dordrecht_rotterdam,140.0,383600,"file value (modelled baseline 52,997 t/day)"
